Sector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Curazao|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Nigeria|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Panamá|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|San Marino|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Aceites y grasas|0.45045111|0.43691406|0.65590405|0.4328047|0.34137717|0.30084157|0.37425017|0.61154449|0.62370443|0.66074258|0.34993583|0.35173589|0.56073606|0.67038929|0.3196345|0.49983901|0.32658452|0.34181288|0.48619294|0.19133422|0.37920493|0.3366724|0.36837763|0.14925486|0.4715969|0.39887244|0.7731086|0.34553593|0.35291117|0.21907562|0.46412277|0.66642809|0.28092551|0.43490008|0.42483044|0.23080662|0.57726431|0.29253638|0.55084646|0.79311013|0.35244191|0.55981433|0.32744169|0.56011206|0.32976979|0.29139447|0.39278102|0.68759525|0.44386834|0.19787598|1.0|0.62596726|0.18776619|0.3161124|0.61018932|1.0|0.81197894|0.34824741|0.95258909|0.43160033|0.37581009|0.43462095|0.2575849|0.35222778|0.26538432|0.45831251|0.35207179|0.41546386|0.12099905|0.26731712|0.60141563|0.1117415|0.20251176|1.0|0.58361387|0.36556482|0.35039833|0.76575673|0.72238421|0.30937862|0.36159071|0.15110242|0.071860299|0.0|0.65103668|0.41323259|0.078826167|0.19945595|0.57223642|0.93743265|0.50943381|0.62703478|0.22659755|0.28382874|0.79538941|0.37293366|0.37956929|0.35020512|0.42680043|0.32743296|0.37375474|0.0|0.36443576|0.46784782|0.14704476|0.31513464|0.40163338|0.15011272|0.41960642|0.40416679|0.39476949|0.82804477|0.35476908|0.29439574|0.38925627|0.26331121|0.26662236|0.42988533|0.44196552|0.32102215|0.45572451|0.95117354|0.29442292|0.27351347|0.21155018|0.630436|0.45084858|0.98482454|0.38371468|0.596048|0.31811318|0.82234371|0.3856979|0.81607616|0.32159293|0.2952944|0.64856839|0.20016125|0.63018453|0.2530129|0.27081662|0.25941956|0.88279712|0.45106655|0.26998276|0.19539563|0.15131605|0.0|0.40558898|0.46762213|0.27787092|0.36889425|0.61859298|0.34608018|0.40385532|0.1229158|0.20771539|0.33093739|0.48071396|0.88687563|0.10476533|0.10064019|0.11587422|0.38450328|0.39143795|0.36163452|1.0|0.28825805|0.69085217|0.30969733|0.42622423|0.45332441|0.94155157|0.14869371|0.32896405|0.76694691|0.33699411|0.0|0.76047647|0.21462828|0.29604918|0.36803347|0.43681818|0.41943431
Acuícola y pesquero|0.2846024|0.48494852|0.58015674|0.4328047|0.18822558|0.28665632|0.049505532|0.16482255|0.12085606|0.10361762|0.31608886|0.47003043|0.14986089|0.72180027|0.3524048|0.073264547|0.30982387|0.24475585|0.1476303|0.20513104|0.27964222|0.23673007|0.29803577|0.18764934|0.37191916|0.27364308|0.36673671|0.38000113|0.63864505|0.28812024|0.2751615|0.57212877|0.337331|0.0|0.27059442|0.24403475|0.59129095|0.2572096|0.15437032|0.56628865|0.57258701|0.52472919|0.361141|0.54368359|0.21096902|0.035119772|0.30180424|0.45507181|0.13274401|0.41186127|0.13373135|0.11791841|0.20273335|0.25071144|0.26230049|1.0|0.57888067|0.47669366|0.62872052|0.70142347|0.66777432|0.36617488|0.53640294|0.57596886|0.306045|0.74010158|0.028729849|0.32148021|0.29548538|0.0|0.6463418|0.042985223|0.21492708|0.0|0.44421601|0.26478201|0.26501885|0.080835998|0.1930647|0.32331866|0.88999677|0.34268761|0.73393309|0.0|0.57378423|0.29136324|0.10521609|0.19945595|0.41381779|0.74627805|0.07853011|0.68979347|0.2414566|0.23822588|0.10576665|0.31573212|0.35853243|0.30875754|0.30493477|0.18119152|0.27639884|0.0|0.19288439|0.74038631|0.21107125|0.31513464|0.10596348|0.66490442|0.053118892|0.65795529|0.31735849|0.25627851|0.083814032|0.15387994|0.3582527|0.47940242|0.33442321|0.1695198|0.13542795|0.056701832|0.1969966|0.34193191|0.2278243|0.21073021|0.35372782|0.12828311|0.32053354|0.56161577|0.51452726|0.66813898|0.33342227|0.18632606|0.15259278|0.5159142|0.1819903|0.77015889|0.40762854|0.17280275|0.66847205|0.2386477|0.83494031|0.21748573|0.1203589|0.27530265|0.7509917|0.2368174|0.16520336|0.0|0.0|0.41440788|0.0|0.26037136|0.73421133|0.22834903|0.16337037|0.67064756|0.51565367|0.056958344|0.60047334|0.53163993|0.028401386|0.77404404|0.677028|0.040676832|0.25189847|0.26426277|1.0|0.55043811|0.11519484|0.30969733|0.36259791|0.56675637|0.27795711|0.51207292|0.068232618|0.079229921|0.3677415|0.53944832|0.1937058|0.46905416|0.05834141|0.25490597|0.069738589|0.2968629
Agroindustrial|0.40307307|0.21939892|0.55133456|0.4328047|1.0|0.40067464|0.75005662|0.6791926|0.29252601|0.60901785|0.40593016|0.92477989|0.71933299|1.0|0.3703087|0.40687287|0.97069937|0.37297651|0.90878212|0.54799414|1.0|0.2937943|0.42464578|0.63886917|0.44636321|0.36688682|0.38434872|0.39769554|0.76848876|0.87025762|0.44991136|0.51508772|0.56022716|1.0|1.0|0.58041716|0.7011767|0.52497238|0.82516104|0.5190022|0.33821288|1.0|1.0|0.59784764|0.81440473|0.78785878|0.27333996|0.982512|0.88472009|0.44145823|0.82465327|0.85189384|0.5429613|0.72827721|0.73684394|1.0|0.53211147|0.54022086|0.77342927|0.68851763|0.78174007|0.38175383|0.76773447|0.28594866|1.0|0.69398963|1.0|0.88362861|0.55599844|0.83150405|0.66692507|0.89241302|0.77622354|1.0|0.84079194|1.0|1.0|0.7170577|0.76585376|0.7634002|0.83787835|0.62896043|0.68838429|0.70042229|0.52340907|0.86017966|0.45836842|0.52305961|0.6998446|0.60853016|0.88506401|0.55688328|0.75727314|0.70209318|0.67863119|0.41623229|0.80305964|0.40798432|0.38704455|0.45804137|0.77873832|1.0|0.74543494|0.45272714|0.54257643|0.31513464|1.0|0.42979705|0.38898799|0.38936073|1.0|0.63588315|1.0|0.64847684|0.47015956|0.27740219|0.32105684|0.34144539|0.75156236|1.0|0.32267395|0.45156431|0.77794445|0.92903793|0.47675806|0.56374836|0.86514866|0.94771302|0.73774928|0.6887573|1.0|1.0|0.45934063|0.59188545|0.81587142|0.64089221|0.77009463|0.67029607|0.68208784|1.0|0.57726216|1.0|0.69477391|0.48135322|0.64017588|0.52555919|0.9386043|0.0|0.8250345|0.53274727|0.31964931|1.0|0.47241881|0.37423506|0.72556162|1.0|0.8743304|0.61185157|0.65178275|0.58214104|0.93754542|0.66855478|0.51229239|0.91943967|0.44061685|0.63232851|1.0|1.0|0.81987512|0.30969733|0.41288289|0.62718296|0.29517865|0.36437717|0.35606933|0.35849652|0.412673|0.71338344|0.89301139|0.82437056|0.95808733|0.67118752|0.83530486|0.45199102
Agroquímicos|0.29899836|0.71420699|0.091477051|0.4328047|0.38772893|0.49529493|0.27386132|0.096458927|0.032183338|0.55304784|0.66064382|0.075181141|0.51253253|0.4852438|0.33404446|0.81021762|0.12130728|0.40044311|0.56885642|0.95480251|0.45242134|0.16468456|0.067133263|0.73369956|0.32788885|0.24343795|0.71439672|0.3016406|0.74360681|0.46582207|0.52578765|0.59440356|0.47629374|0.47961283|0.50233573|0.68429834|0.4496429|0.62862271|0.36899173|0.64379656|0.17402399|0.5065614|0.61945081|0.73941135|0.54336214|0.82992649|0.20091823|0.63270706|0.1800842|0.27766734|0.2300186|0.65265572|0.58560216|0.40052447|0.13013464|1.0|0.099541202|0.1508003|0.11787449|0.1532753|0.10698777|0.5340606|0.88926041|0.062420972|0.24776599|0.13016048|0.53402025|0.52284175|0.23641999|0.72113264|0.56931448|0.50782889|0.31207895|1.0|0.82322037|0.45187902|0.43143967|0.45325279|0.32578257|0.73054278|0.1077178|0.13535023|0.59808314|0.0|0.096323952|0.43140435|0.29267079|0.19945595|0.59879637|0.15748639|0.49576241|0.6679008|0.097383708|0.053864338|0.82162142|0.23328671|0.26448631|0.44146207|0.27803105|0.11152419|0.46663171|0.0|0.0|0.29975855|0.19148695|0.31513464|0.46126834|0.55524749|0.24823746|0.20445308|0.49495262|0.48544437|0.069496006|0.48335263|0.32637379|0.43878955|0.22560197|0.31350759|0.69006312|0.57801676|0.51964909|0.8734951|0.75460237|0.61954212|0.031676713|0.66200626|0.57000422|0.025348956|0.2636863|0.54862791|0.28972417|0.49803492|0.71699154|0.17063743|0.67689443|0.2387737|0.42419961|0.086055666|0.1086968|0.5490306|0.49729842|0.41506839|0.72785783|0.30846015|0.3879649|0.46085075|0.31372079|0.0|0.6478194|0.28361949|0.24942097|0.47227654|0.10623119|0.62318742|0.53188354|0.5585705|0.13464323|0.4784784|0.076421581|0.38519943|0.38936278|0.85556298|0.64478701|0.39863092|0.16930455|0.46673268|1.0|0.53582865|0.13225208|0.0|0.23954502|0.85493898|1.0|0.598387|0.21159774|0.66439033|0.29416111|0.7317614|0.59745717|0.78908229|0.39407167|0.46354496|0.69103783|0.28160113
Artesanías|0.38843426|0.11979798|0.53618979|0.4328047|0.24868917|0.18221912|0.21482041|0.43045241|0.23227048|0.73403001|0.44719231|0.6819694|0.5868243|0.47251937|0.44822121|0.42266989|0.39508337|0.26030388|0.32938176|0.51213789|0.19679877|0.35133159|0.45395023|0.38519841|0.4983899|0.88455248|0.59018332|0.49269307|0.5602814|0.10257221|0.40662342|0.78711355|0.53938425|0.10988496|0.085740216|0.015257745|0.31275678|0.1913719|0.27118409|0.29430407|0.62343252|0.28046584|0.30991575|0.45767289|0.43861935|0.17245534|0.45176506|0.74336767|0.36402881|0.52463913|0.47026747|0.22948767|0.38918707|0.50969505|0.33273232|1.0|0.77353764|0.33487082|0.82665122|0.46424413|0.74886191|0.22145073|0.21481776|0.3818633|0.41955078|0.79204524|0.18599294|0.25827205|0.38271764|0.17453416|0.81788027|0.21442616|0.57720119|1.0|0.35838357|0.19311926|0.19558008|0.48558658|0.29555261|0.37912959|0.91821408|0.25885558|0.21533549|0.0|0.26496446|0.071580738|0.51595473|0.19945595|0.30153376|0.66941714|0.59632945|0.71832466|0.27116713|0.35447875|0.26350638|0.45724499|0.7861681|0.26702553|0.40032288|0.51782191|0.20711163|0.0|0.31255382|0.88172024|0.25895336|0.082177266|0.0|0.2150299|0.4524743|0.45335943|0.12286253|0.30920708|0.40059084|0.097814903|0.55392134|0.49340156|0.43252841|0.35797668|0.5651049|0.086285114|0.34920883|0.71047813|0.32830253|0.70620787|0.49566746|0.68263757|0.24530634|0.27593794|0.24708751|0.80494773|0.45220953|0.43288279|0.42101371|0.52927202|0.33352801|0.42292285|0.38768297|0.48872447|0.48195028|0.017482167|0.29619175|0.060271453|0.28431463|0.49994916|0.42090011|0.37802806|0.17895328|0.0|0.25295165|0.39968181|0.40230858|0.20399202|0.39167967|0.30327868|0.21926734|0.31974226|0.23778574|0.13130933|0.25118908|0.84375143|0.46231526|0.47124076|0.39852712|0.42801911|0.50714678|0.078566089|1.0|0.1114559|0.4497838|0.30969733|0.50391543|0.43690377|0.55245048|0.2748715|0.37081742|0.52925938|0.47166792|0.63867038|0.15727058|0.19802931|0.34360155|0.12503868|0.31024247|0.26486397
Artículos de hogar oficina hoteles e industrial|0.32934663|0.24474028|0.47917017|0.4328047|0.47461635|0.70289791|0.70861363|0.64442325|0.5548895|0.81168783|0.27120924|0.83481789|0.44457847|0.209012|0.25122851|0.69501489|0.78453052|0.12261187|0.93700171|0.77989948|0.21108039|0.17820418|0.15254191|0.8400948|0.13350193|0.81901717|0.68619913|0.32991812|0.70925814|0.23285647|0.11631611|0.49704251|0.26386803|0.26451656|0.20276007|0.25767162|0.35541159|0.3232488|0.86048889|0.3102366|0.72619462|0.23637742|0.29390886|0.40382987|0.83431786|0.3294096|0.52191818|1.0|0.82761633|0.68253422|0.66708207|0.95441949|0.23256627|0.90995526|0.34965235|0.43989792|0.11153206|0.10808626|0.472179|0.5894447|0.14685653|0.20833862|0.31752378|0.13448103|0.11026275|0.31625968|0.27832514|0.15997632|0.74879432|0.44764662|0.0|0.74715298|0.46336389|1.0|0.75085527|0.20757592|0.59176761|0.69582009|0.66033304|0.95474195|0.24069414|0.49428591|0.50352275|0.45206681|0.49302834|0.19659133|0.15788263|0.53695214|0.45872837|0.23304734|0.92642272|0.30572325|0.12565964|0.16934764|0.51591587|0.24722286|0.2825976|0.39426306|0.23730256|0.12471053|0.61444491|0.0|0.12617309|0.10595217|0.56071121|0.31513464|0.27792913|0.50937021|0.27757245|0.55777192|0.2474007|0.21427514|0.10125017|0.26741302|0.34300393|0.20499539|0.23948111|0.25576898|0.60847318|0.25357533|0.15447503|0.67226398|0.64564198|0.65583026|0.67329979|0.29812092|0.059277192|0.5451262|0.45849925|0.26992485|0.30437511|0.73304552|0.83067232|0.27339518|0.8543278|0.21719292|0.45108116|0.13184731|0.5357365|0.26644674|0.32767665|0.53166538|1.0|0.8278352|0.20692056|0.54693019|0.75666082|0.0|0.26673508|0.19580178|0.26358348|0.079083197|0.1484776|0.1562752|0.34677118|0.10157074|0.6739471|0.17822538|0.52675653|0.20000923|0.95567083|0.48524052|0.53874171|0.28592229|0.36121881|0.22111601|0.34339583|0.22660021|0.88527906|0.30969733|0.4613499|0.47802299|0.4977656|0.33460557|0.10852474|0.98344749|0.32232064|0.58213162|0.73699999|0.16191941|0.68163872|0.17338996|0.23932916|0.20676765
Autopartes|0.92694271|0.28869244|0.4919824|0.13391326|0.53174537|0.019698888|0.088124819|0.53894043|0.58552486|0.47109902|0.25879079|0.544586|0.46315157|0.81050467|0.80068833|0.43687797|0.29515967|1.0|0.87019324|0.45287514|0.72546613|0.27981883|0.28244716|0.55527341|0.29831442|0.30834872|0.47257149|1.0|0.18506965|0.43077442|0.34616682|0.27095518|0.58724415|0.19307104|0.16660185|0.59366429|0.5117411|0.35273576|0.72369409|0.42629135|0.26074278|0.32580426|0.58662033|0.43625599|0.62729037|0.6047225|0.2282663|0.67110598|0.7692669|0.30076146|0.43464056|0.6671524|0.36968777|0.77086759|0.52748823|0.3897959|0.69146138|0.19371665|0.33440483|0.66107315|0.28258145|0.64362103|0.78805161|0.43339774|0.32422638|0.47098881|0.58267158|0.29065183|0.5393877|0.60796976|0.7054708|0.44861019|0.29634249|1.0|0.61880785|0.41363853|0.38388622|0.94272411|0.79419529|0.85311037|0.44785798|0.61316836|0.28946978|0.80729491|0.18638694|0.3966707|0.33474445|0.7530185|0.47613013|0.47702587|0.80320883|0.37828258|0.60343742|0.59336096|0.38495991|0.21958573|0.69781411|0.29583254|0.2076122|0.22138816|0.41927478|0.0|0.47674853|0.26084736|0.42881364|0.095163926|0.59825897|0.28794646|0.34417921|0.25215715|0.29027802|0.38248357|0.36850172|0.33909196|0.30522513|0.24782974|0.63809282|0.3871094|0.73220134|0.5957759|0.39092267|0.586658|0.73469007|0.58790576|0.39666617|0.31029245|0.33382276|0.57462841|0.66725206|0.7602365|0.41974556|0.79028338|0.59323329|0.29984972|0.63421345|0.26378629|0.55713737|0.45094681|0.23869747|0.31905305|0.63108659|0.59539908|0.76562059|0.46608406|0.28350994|0.56516725|0.24219893|0.0|0.35048753|0.23906121|0.36006439|0.27298313|0.55165148|0.32931876|0.44851452|0.17057337|0.78291905|0.39871421|0.27373001|0.37244725|0.73978996|0.60427284|0.15894005|0.30099773|0.55009496|0.40716636|0.26474723|0.19793378|0.94870472|0.30969733|0.33350274|0.67006314|0.11235671|0.39902204|0.59429467|0.39204359|0.42751461|0.69526809|0.6301173|0.26717758|0.454703|0.63110363|0.29622638|0.39097935
Avícola|0.26990923|0.25864643|0.057316549|0.4328047|0.26246053|0.38579032|0.073626056|0.1090619|0.092181921|0.054503679|0.079786018|0.11299841|0.089866787|0.089423954|0.19582628|0.12034944|0.18173501|0.15253302|0.043167114|0.10896131|0.061055411|0.10589834|0.097068936|0.092784718|0.17726785|0.15383428|0.055325352|0.21839185|0.10283683|0.075691387|0.13010053|0.35564911|0.05956611|0.1787699|0.22100677|0.35682529|0.041379154|0.45657682|0.068897225|0.053583357|0.080808528|0.48993298|0.13952586|0.071151815|0.054980244|0.064442582|0.1191169|0.076156035|0.061570134|0.046731256|0.085918128|0.63997644|0.11517542|0.047286846|0.21382385|1.0|0.13963357|0.12206598|0.063177839|0.058051612|0.12085332|0.26173487|0.058782741|0.12251812|0.16516449|0.063529439|0.41961643|0.098988771|0.16423199|0.094607778|0.45121706|0.061470024|0.090131305|1.0|0.055129144|0.067904934|0.076120324|0.056860603|0.035300992|0.045818329|0.12159331|0.095164269|0.20048326|0.0|0.05320086|0.13359857|0.049155544|0.19945595|0.041314136|0.057573602|0.053318731|0.062282544|0.17134199|0.066128425|0.11920607|0.067491993|0.20224586|0.25168335|0.17946424|0.091142058|0.063653916|0.0|0.11261301|0.16117056|0.10441474|0.31513464|0.21840672|0.10115478|0.14443965|0.11774568|0.081363365|0.095458604|0.17339158|0.081040628|0.24356133|0.13832039|0.11102231|0.085830003|0.20522735|0.13732114|0.2116826|0.074144639|0.054364793|0.066150635|0.084252059|0.065194368|0.086478606|0.13254675|0.16955036|0.46894652|0.1041965|0.062565953|0.10460529|0.059613645|0.062140487|0.062366534|0.082457215|0.10430746|0.063122422|0.48837617|0.0948001|0.33245802|0.089738101|0.15440921|0.080374844|0.061611883|0.11617264|0.0|0.099027313|0.1391663|0.17296118|0.062378503|0.091238357|0.25722024|0.13569354|0.23911665|0.12023496|0.19120069|0.098003477|0.068821594|0.067875102|0.13412482|0.097336307|0.10122535|0.23687401|0.063673571|1.0|0.39866874|0.079656005|0.30969733|0.095242284|0.51201349|0.1750689|0.096522942|0.12166633|0.13384545|0.21999198|0.34893081|0.37191457|0.48174223|0.20380515|0.30596977|0.18201874|0.1938886
Azúcar|0.59414268|0.74043953|0.79825789|0.4328047|0.61715221|0.19667614|1.0|0.28620148|0.77575886|0.071258135|0.50807941|0.70511043|0.74483293|0.19358051|0.59003371|0.94647896|0.95253873|0.1827473|0.96050739|0.33081034|0.41721025|0.45116925|0.51453197|0.0|0.72018886|0.45825261|0.027187094|0.63848054|1.0|0.44496682|0.053219728|0.90508246|0.78184927|0.97319341|0.51901871|0.073408283|0.74700999|0.079704411|0.89529932|0.47412401|0.23255649|0.96175373|0.56886196|0.63522387|0.2852484|1.0|1.0|0.20079622|0.74969786|0.79841542|0.89631081|0.41312873|0.35161063|0.2635746|0.51295477|1.0|0.28289294|0.70965189|0.67438293|0.5524351|0.70552528|0.56990117|0.56764126|0.26686749|0.51882035|0.85049832|0.090566628|0.48325783|0.79213625|0.81674302|1.0|1.0|0.70285392|1.0|0.9237234|0.74008083|0.39813688|0.82169497|1.0|0.13047086|0.22739027|0.31107223|0.41804248|0.0|0.66518199|0.51530325|0.53635871|0.19945595|0.71821344|0.78854746|0.94568878|0.53520948|0.44606143|0.42684045|0.15245986|0.52916408|0.88882428|0.52603245|0.48005974|0.75337988|0.43348861|0.0|0.87198871|0.350371|0.75113767|0.31513464|0.81517732|0.37430346|0.61019939|0.26575243|0.45856437|0.58503866|0.054627717|0.83935368|0.72343993|0.062569313|0.48173746|0.98556399|0.62753284|0.39634529|0.5669539|0.18709177|0.019031662|0.3106958|0.5576334|0.50973505|0.53060561|0.78422797|0.44585517|1.0|0.57272923|0.16654196|0.043696325|0.68501538|0.4979986|0.75287706|0.46727872|0.30117965|0.56449199|0.0936426|0.88873613|0.27284485|0.57641447|0.5650022|0.62604672|0.73393089|1.0|0.0|0.78632486|0.38541901|0.56563491|0.43988398|0.59441477|0.52938861|0.061452564|0.47954404|0.474343|0.3615396|0.3796742|0.41922697|0.98405039|0.20486355|0.36729687|0.11489291|0.6830045|0.42138287|1.0|0.43065405|0.98678994|0.30969733|0.61535782|0.26603335|0.51712966|0.49799362|0.38498646|0.051778596|0.57997417|0.93400645|0.29590946|0.13764158|0.51529372|0.44677159|0.46535397|0.63673162
Banano|0.17032547|0.76948726|0.78048569|0.4328047|0.050546534|0.44877452|0.029568955|0.30035013|1.0|0.35577899|0.15999508|0.64049602|0.33289886|0.24072656|0.14636755|0.10675471|0.51302195|0.13601567|0.076385774|0.075223438|0.093712829|0.069953911|0.64576286|0.092784718|0.21702521|0.13739075|0.079991341|0.18689445|0.83128101|0.13114227|0.093179733|0.3041952|0.84016895|0.33716691|0.33083394|0.073408283|0.26843825|0.079704411|0.10067306|0.38563627|0.094905823|0.38952589|0.17834783|0.69662118|0.15574619|0.08373706|0.78211486|0.40289328|0.78464305|0.82051933|0.066081092|0.030557863|0.062913492|0.11149344|0.45783323|1.0|0.51460248|1.0|0.79259574|0.50286794|0.13473129|0.11222553|0.1169171|0.5442726|0.15119658|0.93469417|0.090566628|0.14727701|0.14758611|0.14899346|0.42160827|0.0|0.79876065|1.0|0.10293904|0.10096397|0.1073754|0.042536467|0.091490149|0.079726145|0.13587123|0.067038417|0.18261966|0.0|0.68720448|0.27633125|0.17815956|0.19945595|0.32953978|1.0|0.038243562|0.32288298|0.070352823|0.094238818|0.082342833|0.1368635|0.64900744|0.05311653|0.1652988|0.40284437|0.0825909|0.0|0.54008943|0.17610171|0.038614944|0.31513464|0.051949751|0.083607629|0.11134405|0.77587783|0.13938528|0.52625066|0.13783993|0.1390775|0.2112899|0.18800904|0.1264845|1.0|0.068636648|0.0|0.066212609|0.056568567|0.068304949|0.098414466|0.51038826|0.10500729|0.12242889|0.11288425|0.12454809|0.4232074|0.11864938|0.085374795|0.075987384|0.76258844|0.0|1.0|1.0|0.39971787|0.94744468|0.0936426|0.23091543|0.30161521|0.049151327|0.11427969|0.6847719|0.71977186|0.044251915|0.0|0.14194286|0.18193048|0.079772234|0.092932492|0.34803599|0.128975|0.1204659|0.22234388|0.080542073|0.20671599|0.85989249|1.0|0.043537892|0.058134813|0.059963211|0.078384958|0.22100572|0.10700972|1.0|0.46109983|0.060228858|0.30969733|0.87356663|0.74331486|0.70522428|1.0|0.095728308|0.11566958|0.17430279|0.18830204|0.0|0.10529694|0.0|0.32184482|0.091180399|0.15745004
