Sector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Curazao|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Nigeria|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Panamá|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|San Marino|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Aceites y grasas|0.8345325|0.065014839|0.36514524|0.22248678|0.77634215|0.37799448|0.41193712|0.48207101|0.70768404|0.31986094|0.53495556|0.23435608|0.23583475|0.34833157|0.65884781|0.33368576|0.42524198|0.83340681|0.33209348|0.62932324|0.46827284|0.25734463|0.23295668|0.27776057|0.32208019|0.48129159|0.53557479|0.39836699|0.47359994|0.24923055|0.37020183|0.67292047|0.56828606|0.74559861|0.18812138|0.49476585|0.19188045|0.41965544|0.53407109|0.60114241|0.28368762|0.71141505|0.71169519|0.48104516|0.19236296|0.33345208|0.27801353|0.55401927|0.23779789|0.43730032|0.6638695|0.56289381|0.70382261|0.57166266|0.22274986|0.73394454|0.37082553|0.33988768|0.64641428|0.31970519|0.5307678|0.94565725|0.62572038|0.58337569|0.81358659|0.32893878|0.2567741|0.76385498|0.52504075|0.50030798|0.56439722|0.44663566|0.28897679|0.15081105|0.45340085|0.43645358|0.57165682|0.43496513|0.93855727|0.38527599|0.31604344|0.84538996|0.12825452|0.62209845|0.41033351|0.79391897|0.38615584|0.31245416|0.33986568|0.67104483|0.54832792|0.29627764|0.59529889|0.29286104|1.0|0.46599454|0.31526107|0.40470624|0.53069615|0.47594255|0.68241203|0.0|0.49881917|0.18169774|0.64512205|0.16806105|0.91690493|0.65845507|0.37856877|0.1817842|0.57006967|0.66766542|0.62211215|0.82145685|0.31065047|0.30792212|0.39229202|0.40982464|0.14063901|0.80233473|0.8977201|0.23171799|0.53760457|0.54653013|0.71028161|0.37387305|0.54401493|0.62393451|1.0|0.28436473|0.58836371|0.59253395|0.13222857|0.76203793|0.57813501|0.46836448|0.4370001|0.31934375|0.34361756|0.49105489|0.29817939|0.42230707|0.58973402|0.76683617|0.20900127|0.39802897|0.5033589|0.0|0.62494057|0.19287798|0.45955706|0.190696|0.64824462|0.79746813|0.72613817|0.52360266|0.64899743|0.48757058|0.41800442|0.30921721|0.53133488|0.25082356|0.26575515|0.48326093|0.77129614|0.64127654|0.74632227|0.33849058|0.60856098|0.33870918|0.62962431|0.19864695|0.58995908|0.25926036|0.80054224|0.50490493|0.66215968|0.58968222|0.73939753|0.51471275|0.53554678|1.0|0.71546149|0.83915895
Acuícola y pesquero|0.086367026|0.8182193|0.30745286|0.44266999|0.10707416|0.51765108|0.55803549|0.16170004|0.15554062|0.19775712|0.10972123|0.46170244|0.32448691|0.23314154|0.17444779|0.25196195|0.12622389|0.19092339|0.56339854|0.093442477|0.56863987|0.36771345|0.44459799|0.1922469|0.17526312|0.21670216|0.40014654|0.70081198|0.18582112|0.39770302|0.29238716|0.30986112|0.28365433|0.22572932|0.2223531|0.53903604|0.31362858|0.21987745|0.098413616|0.54648948|0.42614961|0.36601096|0.72878873|0.67621243|0.24078712|0.83738208|0.17510624|0.0|0.25368983|0.65695572|0.33414325|0.17073384|0.39256763|0.13048995|0.19777092|0.11867378|0.104131|0.2012423|0.73709917|0.4824895|0.30827701|0.22539398|0.26512256|0.4406406|0.24501848|0.55639094|0.66617858|0.20787427|0.21759111|0.4189077|0.16083661|0.38415366|0.27558666|0.20422859|0.20097332|0.28304785|0.31120366|0.15057632|0.24044317|0.051791318|0.11071302|0.14912435|0.18487951|0.079224668|0.10738184|0.10409472|0.33923805|0.3465203|0.45281243|0.68337536|0.63253212|0.63778657|0.22362526|0.16718969|0.091921046|0.064523175|0.10372788|0.18771467|0.31468016|0.32159758|0.46190786|0.0|0.41778117|0.27735618|0.19313392|0.59696698|0.30720145|0.45397797|0.29345265|0.34287584|0.45696512|0.19600713|0.54082882|0.12528734|0.25762895|0.41470206|0.11244195|0.28717914|0.099850476|0.42143327|0.1673273|0.06904567|0.15708873|0.65297306|0.13210213|0.1762695|0.20563138|0.098294906|0.063978657|0.4297094|0.13885373|0.47930157|0.16416651|0.19174592|0.14346318|0.35532185|0.65087092|0.2172814|0.24645683|0.52117467|0.17875159|0.49803063|0.43074512|0.25854284|0.18495546|0.19757554|0.44132075|0.0|0.135885|0.22779369|0.73861504|0.34471747|0.40990958|0.20954435|0.25233385|0.34205902|0.16029197|0.12472054|0.7798804|0.33035916|0.20959131|0.62115467|0.41030431|0.0|0.19992788|0.425549|0.48016623|0.43297055|0.34726182|0.10770804|0.1250636|0.083781168|0.26640597|0.58657789|0.075408705|0.095168218|0.10256331|0.29745442|0.11629643|0.37283179|0.18340008|0.23709786|0.56862372|0.29483896
Agroindustrial|1.0|0.67652476|0.59069896|0.83865327|0.53016853|0.68245333|0.9045524|0.83621371|0.53203076|0.4171465|0.72447008|1.0|0.69492626|0.67348307|0.89537299|0.87763596|0.84332913|0.67061663|0.93733215|1.0|0.63014293|0.91063499|0.63690346|0.58658409|0.83267772|0.83499616|0.50470543|0.98502803|0.65782702|0.85606587|0.5758428|0.83092785|0.58087617|0.94519264|0.90034693|0.7356981|0.58398956|0.89477158|0.83382994|0.61451757|1.0|0.89571786|0.84659916|0.79550147|0.64612538|0.66427588|0.82604158|0.1374521|0.90090251|0.80214942|1.0|0.98355412|0.48547655|0.88801038|0.51780283|0.84177929|0.68884945|0.76449907|0.77397805|0.46539754|0.77768111|0.5193783|0.93821633|0.8372463|0.78767061|0.65145433|0.89627922|0.94795716|0.94177747|0.67654037|0.69688594|1.0|0.77950823|0.59060431|0.92506444|0.84353095|0.95003879|0.6874485|1.0|0.94306386|0.61811209|0.43935269|0.7492224|0.8953113|0.76394033|0.69869906|0.84478807|0.64925873|0.77733129|0.55328435|1.0|0.7525562|0.9092598|0.65903777|0.38357008|0.68394363|0.61221671|0.84116721|0.97574586|0.86988175|0.84513724|0.0|0.62272942|0.83051544|0.78304732|0.61056578|0.72511137|0.81651139|0.84028894|0.79050797|0.72257566|0.74539471|1.0|0.61511004|0.94970453|0.86231029|0.84655261|0.96099401|0.61754549|0.63747871|0.95844376|0.42645672|0.81947184|0.7298649|0.85111547|0.85282707|0.80301344|0.90899968|0.69481373|0.69897169|0.84202439|0.67402625|0.55226731|0.563196|0.63309079|0.6185497|0.7219013|0.73484576|0.87104332|0.72728533|0.66019589|0.82822794|0.66423267|0.7191962|0.65993953|0.644768|0.84925735|0.0|0.76753831|0.56558633|0.7515415|0.94011247|0.43919852|1.0|1.0|0.67905164|0.60550559|0.71641612|0.67321336|0.63793123|0.78513068|0.68927026|0.67825079|0.46268877|0.893121|0.62537724|0.59105921|1.0|0.9368962|0.67844218|0.54133201|0.75437403|0.60855263|0.6813876|0.55088419|0.76014972|0.77461147|0.96990359|1.0|0.80864477|0.88348961|0.57442188|0.4872022|0.65759969
Agroquímicos|0.51631749|0.31794876|0.22613898|0.086987048|0.56840777|0.39929527|0.34129262|0.10766317|0.39235055|0.87284589|0.37508389|0.10587095|0.76439935|0.28948683|0.48387957|0.10470697|0.054258622|0.86826253|0.19445829|0.87631488|0.89025319|0.071288392|0.32666004|1.0|0.39515045|0.52481866|0.97136045|0.13528544|1.0|0.69362962|0.90911722|0.15705019|0.3077454|0.28499591|0.75654882|0.6849767|0.52084696|0.39918199|0.61550117|0.11743432|0.20833746|0.23956418|0.37742448|0.19767372|0.74611807|0.78503585|0.48922542|0.52374983|0.069965512|0.40650392|0.4016363|0.83002663|0.27721271|0.60976958|0.1180716|0.58786362|0.39336708|0.44906557|0.43159577|0.23490468|0.70569688|1.0|0.74208993|0.32203215|0.54347324|0.46199042|0.53051496|0.40060127|0.30777651|0.70945418|0.12311922|0.33164084|0.53867745|0.49744135|0.75878906|0.55022192|0.21712667|0.59497499|0.28939825|0.6194526|0.69174391|0.82556069|0.5703882|0.30111766|0.64536184|0.47512171|0.39928085|0.068973348|0.18232426|0.3545045|0.37604868|0.25397322|0.16101831|0.54790062|0.79497254|0.52533436|0.27556571|0.70647538|0.37590843|0.82401228|0.42522818|0.0|0.706738|0.3193076|0.2693806|0.052020244|0.51908386|0.50420022|0.14398198|0.097472161|0.81479979|0.31548458|0.31962222|0.69493318|0.17947094|0.84692323|0.58899003|0.12350534|0.38607955|0.65795058|1.0|0.53306258|0.74928582|0.35407048|0.23290962|0.79918611|0.35482252|0.25393036|0.63687009|0.23174313|0.46227628|0.49396336|0.90138066|0.11868393|0.79236329|0.50804222|0.26961291|0.13335621|0.31547207|0.1659804|0.55706346|0.6547786|0.54995698|0.90736246|0.83458656|0.27467918|0.1835283|0.0|0.64394927|0.75133836|0.15424052|0.37855822|0.066140994|0.6322788|0.20081621|0.72884065|0.83760178|0.69564629|0.34265596|0.25503942|0.69607621|0.73830664|0.22610715|0.79012334|0.62784874|0.73420399|0.36199468|0.37228957|0.21628502|0.46792746|0.68204659|0.16632643|0.42770958|0.88159704|0.68978083|1.0|0.41037545|0.16934606|0.24394777|0.64080358|0.27419764|0.9300282|1.0|0.95209557
Artesanías|0.38808918|0.28405261|0.41517293|0.26133749|0.32941532|0.42653412|0.25238287|0.34193861|0.33957127|0.3882809|0.33079487|0.43600082|0.41162694|0.54315317|0.43718785|0.30677193|0.33725131|0.21990454|0.27093393|0.34118927|0.37980247|0.58868635|0.50252509|0.46199071|0.22834294|0.33672994|0.35239708|0.31618392|0.41504818|0.31908843|0.35764867|0.40081906|0.35958752|0.3814334|0.50255716|0.45077646|0.41801804|0.32783628|0.29354876|0.22637716|0.44503069|0.48970371|0.2881895|0.3883093|0.33678591|0.25976479|0.33825195|0.46413538|0.53398389|0.52007926|0.34661967|0.42716688|0.20635912|0.22090526|0.3855769|0.66452903|0.30706754|0.29553309|0.30742192|0.51296735|0.32135507|0.36570197|0.33597314|0.47198302|0.35965353|0.29717618|0.50145686|0.32845885|0.47293156|0.30015978|0.61129004|0.27517343|0.30748647|0.43111542|0.29650354|0.40928513|0.34782073|0.27148491|0.40351883|0.36015946|0.4301483|0.35000011|0.2921111|0.43962729|0.45063508|0.13461863|0.51121807|0.5113039|0.41323|0.3679634|0.29986507|0.27946937|0.24146095|0.40402073|0.37042803|0.33049697|0.85272217|0.30648232|0.29668707|0.28394955|0.13884905|0.0|0.30191988|0.42661071|0.36725625|0.32044804|0.29438561|0.26509273|0.48000023|0.32100269|0.28651473|0.33556139|0.28544322|0.33757162|0.28035575|0.29348123|0.34584874|0.35751334|0.34602275|0.30194321|0.39055502|0.37595397|0.26909286|0.26366138|0.4971332|0.39257172|0.31316888|0.40002191|0.34386665|0.46767318|0.53853017|0.68844402|0.43981531|0.40422705|0.34635085|0.30038154|0.23446268|0.4516297|0.46346319|0.19684151|0.36729902|0.39324421|0.38157997|0.30864131|0.32351083|0.42158055|0.37555346|0.0|0.26603228|0.27997231|0.38912028|0.49312729|0.50306439|0.27534741|0.37264243|0.27290788|0.35201722|0.40211567|0.44700789|0.52696913|0.22356761|0.41176403|0.60966957|0.38771319|0.40916997|0.16403127|0.27122286|0.38872546|0.29446679|0.52971834|0.29068342|0.33636159|0.30357438|0.428285|0.38121188|0.2511858|0.21642676|0.37177485|0.45093781|0.26576734|0.28949949|0.46554208|0.28275558|0.34011608
Artículos de hogar oficina hoteles e industrial|0.60007811|0.78797567|0.69266474|0.73590386|0.81905055|0.48120493|0.70025456|0.747509|0.49093753|0.54045135|0.83490479|0.80094182|0.81320387|0.74674499|0.85020614|0.63731658|0.69653404|0.6174283|0.88081312|0.86171895|0.68431163|0.89721662|0.67337614|0.88020194|0.73416758|0.7409063|0.62580013|0.76361996|0.59031367|0.76394367|0.72256494|0.74587739|0.61643994|0.71623605|0.59188747|0.82427931|0.77237165|0.59848213|0.7292273|0.37460026|0.90059006|0.74070674|0.49551353|0.63320965|0.8235147|0.46143535|0.75580561|0.65209043|0.70306069|0.75665891|0.90882134|0.72696316|0.40649632|0.70849174|0.68922377|0.56147659|0.60517019|0.63019508|0.70374918|0.76785088|0.68874776|0.57725286|0.70116156|0.81429195|0.97691739|0.77183509|0.87814283|0.79971814|0.86114824|0.80844593|0.49572694|0.79902476|0.81640881|0.53470969|0.74226421|0.68299121|0.76396346|0.7024684|0.79134768|0.84727645|0.71649778|0.60110116|0.52702838|0.87203634|0.79819208|0.49408221|0.74135864|0.71369386|0.84300667|0.56866348|0.83117795|0.77070683|0.54569542|0.8548637|0.5665037|0.6976946|0.59313631|0.74020606|0.78161073|0.78344727|0.56464207|0.0|0.69040251|0.73260415|0.62459528|0.49309784|0.57397467|0.52226466|0.86229825|0.59201729|0.51093608|0.68768537|0.81400567|0.53244251|0.81241345|0.87461662|0.72823298|0.88284445|0.55180335|0.55899698|0.61791503|0.59823644|0.77960765|0.70264745|0.7682147|0.77437651|0.59418279|0.85362339|0.42081487|0.58625412|0.49432486|0.52027833|0.75749516|0.71274114|0.68345356|0.57100224|0.7767573|0.82197154|0.74386013|0.75620222|0.64161301|0.7793175|0.76821744|0.57270503|0.64687967|0.77325195|0.76834345|0.0|0.54440999|0.62990153|0.79128742|0.90156519|0.75171465|0.4400261|0.62299967|0.58081412|0.85225105|0.75028497|0.76727402|0.79829371|0.65840262|0.44846702|0.71169603|0.63445365|0.70062834|0.58793962|0.056407161|0.89954877|0.85735393|0.77327091|0.4548986|0.68798476|0.63807285|0.69580686|0.63311344|0.71737432|0.55225688|0.92262232|0.87361336|0.61495352|0.72662586|0.71412611|0.69862646|0.69232941
Autopartes|0.78549504|0.93713689|0.96183896|0.67429835|0.75017464|0.2498481|0.83017027|0.72985125|0.6658603|0.97210395|0.73894638|0.52944827|0.77822161|0.83461058|0.81607437|0.45793298|0.78827715|0.68635762|0.70361578|0.73840153|0.64620847|0.4248797|0.87253964|0.95432484|0.54193246|0.72777456|0.86632884|0.74907005|0.77212381|0.81435895|0.6712923|0.53598934|0.88985139|0.4414486|0.85022342|0.77367997|0.81714451|0.74512732|0.79803622|0.5319097|0.66330361|0.65563244|0.67811716|0.71815765|0.58560634|0.6809724|0.63732487|0.70827782|0.39898866|0.59164214|0.71474993|0.76070094|0.62500012|0.65315771|0.74922919|0.89656323|1.0|0.59644526|0.89962322|0.87222052|0.67212188|0.61610818|0.51467323|0.94945103|0.75768417|0.7115491|0.98498154|0.60391963|0.7179091|0.84243703|0.59364295|0.71027124|0.661672|0.7635206|0.69937336|0.82566988|0.51127058|0.71530622|0.68512893|0.58796155|0.91704667|0.72987151|0.77494037|0.74314994|0.67393208|0.75963998|0.63324273|0.47421145|0.67312574|0.7897141|0.74229294|0.45373178|0.56548554|1.0|0.70910251|0.71501946|0.90863454|0.71974015|0.64884305|0.84209991|0.72158831|0.0|0.77892625|0.71750718|0.88964325|0.36091688|0.75232029|0.83059514|0.62452734|0.57596463|0.69427484|0.9487946|0.6954487|0.79301214|0.40652883|0.66822731|0.7479561|0.60918033|0.76628137|0.70792246|0.60502696|0.92765474|0.51015991|0.5995785|0.67612946|0.64590657|0.64693427|0.88900447|0.57716626|0.72424257|0.50896537|0.18748927|0.80027962|0.74552476|0.7621507|0.75304669|0.75778377|0.52911484|0.64356375|0.47068089|0.91793311|0.91636896|0.65229589|0.63305628|0.69964278|0.74159801|0.59337187|0.0|0.6771726|0.37183711|0.77759016|0.71216792|0.63188761|0.61101842|0.67162645|0.61079264|0.92305702|0.84795833|0.79927081|0.71882069|0.82283974|0.76611638|0.64124745|0.71737266|0.5690257|0.67057544|0.46637613|0.35062027|0.69910574|0.75709671|0.81990683|0.64576268|0.49514714|0.78116941|0.64896953|0.82322538|0.84607971|0.76333654|0.85233188|0.76989961|0.7600584|0.64140034|0.84955108|0.80047202
Avícola|0.36983162|0.21801904|0.32766992|0.34712353|0.63131756|0.85018617|0.74278581|0.5656122|0.11521193|0.12032388|0.4858782|0.57002354|0.05861374|0.3097873|0.3995519|0.70854026|0.71125174|0.34352493|0.43452564|0.22498733|0.73716289|0.6774447|0.26771748|0.32736486|0.10997121|0.3169916|0.089509577|0.18813136|0.33585724|0.13978799|0.20956841|0.41679156|0.23220217|0.86936694|0.28782526|0.20801067|0.099847674|0.44384533|0.31527776|0.38701868|0.36499563|0.93038738|1.0|0.10771941|0.22188333|0.35932279|0.18870643|1.0|0.71759748|0.27253628|0.92132938|0.22856766|0.26166165|0.27295268|0.50040632|0.30595946|0.34116668|0.1393209|0.14835912|0.035383511|0.37581778|0.17035469|0.40826875|0.088706695|0.26373398|0.25858277|0.92164159|0.75156772|0.51041108|0.64189839|0.64649099|0.76702905|0.34930995|0.28593761|0.49578768|0.57589734|0.63364041|0.29753023|0.82140243|0.29975039|0.29755178|0.10162777|0.16723451|0.50307101|0.26161665|0.42328465|0.1184096|0.79983401|0.10744219|0.1405936|0.52503479|0.32234919|0.36051619|0.41784918|0.27172858|0.45332855|0.12851058|0.23613498|0.74125093|0.38528842|0.64539778|0.0|0.28002778|0.33494428|0.1237412|0.48049733|0.1870556|0.1728166|0.76636493|0.23186882|0.22458066|0.097088009|0.078343675|0.58514583|0.86389649|0.3973172|0.48021436|0.44791406|0.30069444|0.46223801|0.34187847|0.46769202|0.41320729|0.16641796|0.054880038|0.078261353|0.29586962|0.55972397|0.17660189|0.63402641|0.63254833|0.34961939|0.24787647|0.31708354|0.32962942|0.096111044|0.21983746|0.62941754|0.33097151|0.80183333|0.32010907|0.55006051|0.40212137|0.13895184|0.2838524|0.17486721|0.80330157|0.0|0.312547|0.14163274|0.51010484|0.69860911|0.45533124|0.52680707|0.35893118|0.19321257|0.37290728|0.17498653|0.12727794|0.1499391|0.61657333|0.055611655|0.18062007|0.26335692|0.28273761|0.38976642|0.70688266|0.81039739|0.57928348|0.57042146|0.076407924|0.71462709|0.12025903|0.18346089|0.2649135|0.14731073|0.28303874|0.88120836|0.20189941|0.33214998|0.52040458|0.21155359|0.42414561|0.32425672
Azúcar|0.48980457|0.37912977|0.15939415|0.14722033|0.66476154|0.1132322|0.18915474|0.17415525|0.73297822|0.061254978|0.5739702|0.21391515|0.2157428|0.19181846|0.75246686|0.2363641|0.50888002|0.74733949|0.62564874|0.10590586|0.5414499|0.31527853|0.11901104|0.070122145|0.42847735|0.90243888|0.15005928|0.15739067|0.84944761|0.54642069|0.76864916|0.36248475|0.3362267|0.73062336|0.41142365|0.65148956|0.29865551|0.37827307|0.52033091|0.34878218|0.3934921|0.62180102|0.15481149|0.56216824|0.10054538|0.58223683|0.26405019|0.071188807|0.46926227|0.2235359|0.3220371|0.34216321|0.31035024|0.056567289|0.23692755|0.69733727|0.1171368|0.41564733|0.51324987|0.29029402|0.27130696|0.83060211|0.3866272|0.23352653|0.52180606|0.15946567|0.37330878|0.86256689|0.66618305|0.53546208|0.4272356|0.56994176|0.52273893|0.095115572|0.048668038|0.66590989|0.44690689|0.53104722|0.91712344|0.070393801|0.45942706|0.23113802|0.72949034|0.59250367|0.30750221|0.11769544|0.21935806|0.11008906|0.49490741|0.5259093|0.71371174|0.18831572|0.78929561|0.56022286|0.77151054|0.54372549|0.88539553|0.77336025|0.19008924|0.34171343|0.48736048|0.0|0.16710828|0.16780631|0.76018107|0.21364942|0.78028488|0.77024001|0.18606564|0.30707437|0.80019128|0.71073544|0.57837528|1.0|0.68246281|0.12016845|0.61303473|0.25034702|0.82193184|0.05629573|0.32727879|0.084254481|0.10449646|0.7680859|0.26766968|0.42815608|0.69295871|0.35154468|0.3209905|0.30574003|0.97557819|0.25931892|0.054094274|0.17541908|0.49210328|0.19024841|0.45836818|0.19779822|0.16817045|0.55617619|0.25402552|0.76627469|0.1255728|0.86381686|0.36610371|0.29710969|0.53164178|0.0|0.71075529|0.10728297|0.27684647|0.59166878|0.34098628|0.71535236|0.89791727|0.71295512|0.22897783|1.0|0.14160277|0.23923829|0.60270339|0.13449661|0.34540671|0.73471951|0.73556077|0.65500826|0.49698597|0.22993097|0.74898672|0.79032266|0.40854299|0.49666408|0.53962106|0.21965176|0.47583503|0.36337006|0.45071211|0.62243712|0.66508794|0.67423975|0.77806205|0.74347156|0.34023923|0.50231183
Banano|0.32056981|0.23758119|0.20891836|0.10392167|0.053252954|0.050774239|0.35634303|0.24504042|0.30276519|0.51551902|0.25571084|0.27725577|0.073526934|0.24701452|0.2924515|0.21902132|0.29541832|0.03524857|0.24331388|0.0|0.052576799|0.15444891|0.36423191|0.025451411|0.47378767|0.27013537|0.077138729|0.35873681|0.34812149|0.20004466|0.06114535|0.11348365|0.50041258|0.12383012|0.0|0.0|0.2306174|0.056595769|0.18714553|0.25397539|0.12339599|0.034978751|0.027537169|0.13829215|0.02637334|0.0|0.37311026|0.05452152|0.6644966|0.1244224|0.0|0.0|0.10622221|0.35681152|0.15594548|0.024530359|0.23915471|0.40192485|0.16920513|0.33290952|0.21923257|0.093981639|0.0|0.33984929|0.036835022|0.14387985|0.0|0.13476188|0.23074797|0.0|0.11077239|0.087997943|0.18045369|0.70638937|0.0|0.11792906|0.083134986|0.0|0.087797783|0.26727107|0.27835304|0.033616219|0.0|0.34765208|0.15930578|0.6047526|0.17456327|0.49071482|0.091631651|0.25430414|0.0|0.23620042|0.20924845|0.18399245|0.025335038|0.3601447|0.41359094|0.067343131|0.13270748|0.26480639|0.0|0.0|0.14737919|0.21587715|0.14445904|0.12557656|0.0|0.097627193|0.23248252|0.27128819|0.23673891|0.078330889|0.039921612|0.22495219|0.033595458|0.27771965|0.21820985|0.34291703|0.0|0.033678975|0.0|0.0|0.079853229|0.11092708|0.20918331|0.33442223|0.33754715|0.1795802|0.085721254|0.041625313|0.38553324|0.079009525|0.093345344|0.28642729|0.030493036|0.27302516|0.30863619|0.33215472|0.22766992|0.0|0.27669126|0.04223711|0.0|0.15703523|0.3527503|0.4561398|0.12745501|0.0|0.28645131|0.35528901|0.040891934|0.027960975|0.10028319|0.31047404|0.11608003|0.0|0.19087487|0.054287173|0.23702823|0.18552856|0.0|0.04294607|0.045944653|0.014844162|0.38925934|0.071881302|0.5606997|0.0|0.19659209|0.034317508|0.15426666|0.036939871|0.37773463|0.52675879|0.12772773|0.42436248|0.33675766|0.057214305|0.0|0.05919686|0.047441974|0.08497189|0.071887247|0.0
