Subsector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Curazao|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Nigeria|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Panamá|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Abonos|0.27960399|0.3411231|0.17523871|0.0|0.48666006|0.30167478|0.26461419|0.31225884|0.33911777|0.41409209|0.28637695|0.17418796|0.46083349|0.290369|0.43042856|0.20028067|0.34441382|0.70419514|0.2028684|0.65372789|0.26300681|0.1958656|0.24329671|0.19495089|0.29885864|0.41694197|0.66981864|0.59711659|0.54141617|0.58784837|0.63644159|0.31909445|0.51653916|0.60146147|0.61642575|0.58240962|0.23749711|0.7493186|0.30370483|0.3400417|0.50498825|0.2778002|0.73011929|0.40816152|0.6895262|0.53291374|0.53026962|0.39646554|0.25409389|0.49850363|0.52325809|0.21787578|0.32498989|0.78361726|0.33412594|1.0|0.52622259|0.50277185|0.26395774|0.17043254|0.52649254|0.63315678|0.54870903|0.3692559|0.57373375|0.3596918|0.61342549|0.66701251|0.51570666|0.56123149|1.0|0.53769714|0.4522303|1.0|0.33276594|0.61492938|0.59138489|0.44081718|0.38966897|0.30851927|0.49702111|0.45268053|0.52088988|0.24972805|0.46144873|0.72394657|0.50454295|0.26213455|0.28047827|0.38623112|0.37769765|0.40726471|0.49940535|0.47296065|0.57176775|0.52148968|0.40905958|0.66226721|0.59012926|0.37496144|0.59046245|0.54349279|0.17932981|0.61270231|0.42917937|0.29572999|0.62208897|0.45754334|0.57214797|0.55630559|0.60743803|0.5704335|0.53300291|0.61259383|0.63193816|0.59320611|0.4918358|0.56426591|0.64871162|0.55088258|0.67445028|0.37280953|0.35940444|0.54676211|0.44137955|0.46160683|0.70060802|0.43682337|0.58229882|0.89781153|0.54979718|0.28849375|0.35411769|0.35873774|0.030399099|0.45872349|0.44270098|0.39452255|0.29973906|0.61577028|0.49068457|0.55828041|0.53435975|0.63686585|0.44780511|0.22542334|0.55326259|0.59368783|0.62953174|0.51351035|0.61046845|0.42545223|0.59604692|0.58976465|0.573282|0.46750259|0.60792816|0.31226537|0.30622652|0.45839897|0.51126242|0.36099023|0.60872859|0.61888641|0.58671123|1.0|0.60054654|0.36623809|0.0|0.42867017|1.0|0.63922608|0.49261609|0.56306249|0.36973649|0.34694606|0.94694602|0.53915524|0.52056068|0.54902786|0.57687116|0.60950965|0.67416406
Abrigos y similares|0.42842817|0.54829192|0.16687478|0.64512008|0.34259427|0.2771267|0.29737449|0.052716367|0.42985958|0.41887403|0.53345442|0.32679147|0.33156094|0.5075891|0.45017663|0.3507821|0.2576867|0.29787746|0.26562935|0.27590144|0.34175384|0.21157628|0.45619226|0.29060486|0.4113597|0.19647992|0.54436976|0.21665671|0.010374298|0.039942123|0.059232771|0.20459238|0.46473908|0.058167282|0.062898405|0.12148921|0.52923822|0.0|0.38658124|0.1168308|0.053889006|0.40771914|0.11657493|0.32424033|0.39735961|0.033630196|0.017403584|0.32280442|0.38131925|0.56955701|0.14287527|0.62104416|0.081472352|0.34411949|0.28483674|1.0|0.050788105|0.066599764|0.42487133|0.31537795|0.078729093|0.086787105|0.011620041|0.078640714|0.16674498|0.41428328|0.11292617|0.048388671|0.089670762|0.049781784|0.42722613|0.12245121|0.53670013|1.0|0.38128549|0.037602555|0.038345315|0.12051751|0.2820774|0.26100847|0.01441274|0.026081722|0.029118896|0.24972805|0.55509162|0.0953307|0.050078385|0.26213455|0.34816694|0.21831267|0.41148371|0.35509852|0.060308881|0.042339303|0.010899078|0.047604702|0.54961485|0.27577883|0.063230231|0.054122239|0.037196789|0.053129114|0.028871261|0.10728039|0.17574181|0.040766608|0.041688498|0.017189246|0.049831405|0.065771833|0.046893895|0.0|0.011616612|0.11215885|0.24010324|0.035598129|0.17506322|0.041363221|0.12893607|0.0|0.0|0.368873|0.15251312|0.037585124|0.050959691|0.045217469|0.048565462|0.017603802|0.007966103|0.46375084|0.15722378|0.32769892|0.62342787|0.48662859|0.47208124|0.041333966|0.0069525605|0.69382435|0.63863391|0.1205925|0.051319532|0.070543379|0.418392|0.057073165|0.015857229|0.068069674|0.10118038|0.042721618|0.10644341|0.17961636|0.039590452|0.1057272|0.13959581|0.082835943|0.088764772|0.039947439|0.098571301|0.26941806|0.45351928|0.55990857|0.097683117|0.12990431|0.052159127|0.20463628|0.038152363|1.0|0.11196002|0.13171378|0.35201031|0.18249848|0.27447134|0.52244741|0.57103842|0.040685572|0.47173798|0.16196594|0.3752892|0.23004514|0.050365642|0.15729646|0.46471551|0.044644527|0.14583477
Acabados para la construcción|0.57522678|0.79429561|0.16981015|0.64821011|0.49184|0.77869749|0.84392297|0.13688193|0.55778283|0.67425156|0.70444995|0.87199223|0.582874|0.70888633|0.74473906|0.96390676|0.72451568|0.58336985|0.84838331|0.86220157|0.61138082|1.0|0.70438147|0.72482336|0.7687521|0.69765151|0.59047067|0.21390966|0.13791078|0.019646155|0.18766904|0.68950009|0.76656926|0.67296576|0.31411141|0.23848088|0.6802882|0.32557315|0.68969464|0.046026986|0.24163297|0.63435692|0.11928515|0.10752661|0.86468196|0.1101257|0.13338393|0.8434155|0.88848674|0.15232687|0.78182793|0.78042412|0.11021411|0.85537255|0.27267578|0.25725576|0.16506805|0.14330764|0.54118752|0.82355869|0.1718301|0.24616307|0.85049272|0.16369131|0.17664391|0.65461326|0.23694798|0.14831111|0.19841903|0.12680379|0.43757513|0.8302114|0.11734289|1.0|0.85526931|0.71570075|0.11545472|0.81468695|0.76771408|0.74821115|0.11085352|0.06932658|0.16893499|0.24972805|0.13261029|0.24157587|0.26573622|1.0|0.11070519|0.16419135|0.95969486|0.58874738|0.17549682|0.19913687|0.68062621|0.19802091|0.19979914|0.26165652|0.24559361|0.13787484|0.11724129|0.097466767|0.11883384|0.20677774|0.16265595|0.29572999|0.2692256|0.076580852|0.24510348|0.27179697|0.12956527|0.16251549|0.21263689|0.1157401|1.0|0.21864587|0.15718433|0.29400551|0.9635427|0.27710104|0.331494|0.53368318|0.6182791|0.11641608|0.14910766|0.55558437|0.14825156|0.21438068|0.14456056|0.47204706|0.17605174|0.80975902|0.93655854|0.57784325|0.67712414|0.12927008|0.072950736|0.56456608|0.29293048|0.2385774|0.15233387|0.16910832|0.82751113|0.84812999|0.14314669|0.33398652|0.77782881|0.12778141|0.11127347|0.18486804|0.12255959|0.35515535|0.14768539|0.097999632|0.22731097|0.51789618|0.21809752|0.14825009|0.49059933|0.86457372|0.15154728|0.61229086|0.19034992|0.18766066|0.11593764|0.38842151|0.14896084|0.8664428|0.35201031|0.48303086|0.65647995|0.11112641|0.093914881|0.21634151|0.92496991|0.19021101|0.3809627|0.70451272|0.39578623|0.18170878|0.36476183|0.17552254|0.18534926
Accesorios|0.45680046|0.66653085|0.26440507|0.62304521|0.62475866|0.59341049|0.67602426|0.51878315|0.6497311|0.54366887|0.71505392|0.70634758|0.59833324|0.72917485|0.6474607|0.64780927|0.64109874|0.64804047|0.65292031|0.61822855|0.5601452|0.76168501|0.72887051|0.63915157|0.78366333|0.65411389|0.65165961|0.3909204|0.29934067|0.31244844|0.46935806|0.61359072|0.66951972|0.33068246|0.34315947|0.2308449|0.24599436|0.3195976|0.62389374|0.59701622|0.27683586|0.41596901|0.24966383|0.20127825|0.79423773|0.29167625|0.32150629|0.883286|0.63953888|0.30889979|0.34404212|0.657336|0.55110455|0.79105055|0.43613157|1.0|0.30948183|0.29341948|0.23121321|0.3860229|0.33455536|0.37999609|0.3244853|0.26493666|0.32983738|0.42166489|0.23150694|0.36113781|0.35166928|0.31716821|0.65159798|0.42297089|0.35421479|1.0|0.69231367|0.32142848|0.31122854|0.56704867|0.58658648|0.62392527|0.2624622|0.2594052|0.3410871|0.24972805|0.36135304|0.47775888|0.38692817|0.26213455|0.67553008|0.30267599|0.54947752|0.20249459|0.33235133|0.35121188|0.40881795|0.37248018|0.32403949|0.57594776|0.36983284|0.29150018|0.31309229|0.3179059|0.27979642|0.385499|0.31231001|0.29572999|0.44010723|0.56003338|0.39890552|0.43400759|0.32949877|0.25336811|0.4074567|0.22320276|0.42976183|0.7578522|0.34083897|0.39069331|0.54009402|0.33890924|0.50958294|0.50089532|0.72281384|0.29062501|0.27410048|0.19149694|0.37141669|0.66388667|0.2790316|0.69003356|0.35310701|0.74211919|0.22626162|0.26915216|0.45960379|0.23657101|0.23702452|0.31463322|0.270776|0.23337986|0.25974032|0.28956556|0.55040336|0.40853617|0.23686777|0.21924937|0.39336705|0.33020857|0.5049631|0.34712589|0.33361661|0.21640947|0.39185339|0.3630929|0.27166954|0.58956081|0.2401076|0.53132838|0.50975329|0.53481305|0.53968889|0.54276645|0.42000306|0.40655762|0.30965385|1.0|0.18545167|0.50297582|0.35201031|0.25997263|0.88542223|0.31168461|0.24798733|0.38960451|0.60972905|0.35987639|0.53681958|0.59846187|0.24026063|0.47168142|0.12725754|0.32766968|0.44324079
Accesorios (moda)|0.5667218|0.65137738|0.57272911|0.44295073|0.53488171|0.39681712|0.32575768|0.54670513|0.27722543|0.483439|0.45331895|0.53152806|0.42916608|0.45362759|0.41399258|0.34589136|0.38372785|0.58889121|0.33180511|0.4204804|0.41824776|0.46698517|0.45071608|0.43506268|0.39482892|0.41186574|0.46928102|0.28206638|0.69914985|0.09921176|0.18508749|0.65171504|0.48930687|0.07735537|0.13655391|0.12148921|0.60093158|0.18690725|0.68285429|0.21314433|0.21919639|0.55999815|0.14836338|0.45864201|0.61532342|0.089671746|0.12423301|0.5367192|0.32171145|0.16888306|0.2059017|0.56634426|0.1482608|0.39368743|0.60366327|1.0|0.25562671|0.23911119|0.69574821|0.6799823|0.25728181|0.12991604|0.072251841|0.24658386|0.22770658|0.62922037|0.11292617|0.12357996|0.26184464|0.10578009|0.51690829|0.16240749|0.63992941|1.0|0.63681746|0.099805042|0.092686944|0.16512306|0.44242853|0.64290261|0.14333491|0.54780954|0.12715027|0.24972805|0.6230073|0.68065518|0.22965676|0.63284773|0.47691369|0.68169022|0.58337379|0.48133355|0.13371834|0.66371894|0.079349712|0.024224915|0.63821554|0.19727939|0.14875567|0.22346568|0.094751656|0.18643859|0.13759728|0.30481607|0.55759746|0.29572999|0.045368798|0.09900865|0.71306956|0.77098501|0.10654058|0.11613204|0.74647868|0.12972996|0.31126821|0.24078923|0.241726|0.16218352|0.16825074|0.0|0.10987259|0.69209409|0.64912999|0.095476277|0.14634292|0.52198625|0.1227162|0.19292629|0.067956679|0.54408956|0.25095174|0.53032875|0.39956707|0.58525777|0.62663436|0.60470688|0.5654794|0.57379711|0.635598|0.1205925|0.16205563|0.60795963|0.59191108|0.21036988|0.52227676|0.4905861|0.059990525|0.10471418|0.19862972|0.72531563|0.10165947|0.56575495|0.17675|0.11339594|0.082509875|0.15055104|0.098571301|0.16074385|0.52088392|0.44668841|0.5088954|0.1480058|0.17993444|0.28058225|0.093450502|1.0|0.085982293|0.65015757|0.35201031|0.52303696|0.25882539|0.045740929|0.11412238|0.10931081|0.51603281|0.20989472|0.46414104|0.55588353|0.10341208|0.19834951|0.41550419|0.17290106|0.17097202
Aceite de palma|0.85427701|0.48340428|0.72869629|0.062557437|0.76623577|0.20626126|0.20555057|0.29990637|0.52615011|0.71319616|0.37426203|0.57954264|0.54945028|0.28161469|0.7129426|0.47864571|0.46303236|0.83558118|0.35192072|0.20590432|0.76974469|0.25664109|0.46378374|0.24323161|0.43876407|0.32416612|0.75752211|0.59711659|0.54141617|0.3744036|0.54889446|0.37903404|0.57867634|0.55961871|0.54713255|0.31578478|0.80930835|0.52117014|0.83520281|0.78721178|0.50498825|0.2778002|0.39439887|0.74838352|0.17966178|0.3523314|0.53026962|0.9690516|0.8104136|0.49850363|1.0|0.83540714|0.49901545|0.21282154|0.33412594|1.0|0.52622259|0.50277185|0.97861916|0.75276601|0.52649254|0.54566133|0.33229756|0.49719286|0.42995596|0.7839458|0.47626647|0.43767586|0.51570666|0.37537989|1.0|0.031768829|0.4522303|1.0|0.74657798|0.38988924|0.38101691|0.95876104|0.8388052|0.53657037|0.49702111|0.40769494|0.14111379|0.24972805|0.46144873|0.31397435|0.50454295|0.26213455|0.78927732|1.0|0.53130889|0.77107465|0.52326369|0.55163378|0.88532138|0.57401311|0.40905958|0.52877283|0.54633558|0.507967|0.37758055|0.54349279|0.48472923|0.61270231|0.42917937|0.29572999|0.54237127|0.28144085|0.57214797|0.55630559|0.39580828|0.96952063|0.44180638|0.57704473|0.73004174|0.4887028|0.4918358|0.60043883|0.33561474|0.33450732|0.6353569|1.0|0.22155733|0.35345688|0.36625868|0.68640143|0.44858104|0.43682337|0.56090903|0.97941732|0.5381192|0.70184088|0.71741772|0.897735|0.21374428|0.45872349|0.71818119|0.39452255|0.78828442|0.48256701|0.49068457|0.31972498|1.0|0.56923234|0.44780511|0.46346462|0.20997889|0.39666507|0.62953174|0.51351035|0.40227839|0.81984401|0.56271183|0.51804501|0.43613672|0.43260157|0.26852155|0.66128719|0.99159259|0.096947819|0.10486718|0.49569005|0.52369153|0.66193515|0.37410462|1.0|0.42051917|0.85120261|0.35201031|0.35741308|0.59214222|0.99293387|0.52864015|0.49936849|0.96433306|0.49608445|0.86955285|0.85571277|0.43557709|0.4981645|0.55031317|0.54648829|0.58151639
Aceites esenciales y resinoides|0.41623473|0.42036629|0.10602739|0.32863328|0.51278311|0.24851501|0.3279697|0.1111799|0.69462121|0.46929926|0.44582194|0.47676295|0.38619265|0.48588425|0.50641739|0.2505199|0.40565032|0.61007839|0.52211899|0.33393082|0.61693406|0.34387666|0.38764229|0.66986156|0.46689987|0.40541512|0.55834234|0.137786|0.070679456|0.31768411|0.23401865|0.47630951|0.47414646|0.27756205|0.11330336|0.45384976|0.36076435|0.57942247|0.55395716|0.52705503|0.1118013|0.36280483|0.39136469|0.087026902|0.46900117|0.29699245|0.060021825|0.1673826|0.51243782|0.059858408|0.82353342|0.83085394|0.045457616|0.6240207|0.077299505|1.0|0.084630013|0.051968478|0.41798177|0.13937859|0.14361036|0.23481715|0.21523048|0.15138847|0.12661238|0.45903867|0.47626647|0.36710304|0.15794998|0.61515492|0.36372718|0.2774345|0.046994559|1.0|0.72092819|0.32705855|0.31875455|0.14478552|0.51772577|0.52396405|0.70949388|0.24644621|0.47698557|0.24972805|0.11278567|0.30301425|0.11021361|0.26213455|0.055455148|0.15435031|0.60257113|0.43598911|0.60729623|0.10079162|0.16543508|0.10105389|0.10897803|0.30535585|0.15377048|0.1109543|0.31836182|0.10817716|0.13233513|0.085763685|0.14946695|0.29572999|0.27418974|0.050621312|0.11504883|0.12915161|0.33493233|0.053945549|0.1237596|0.3490335|0.18623728|0.063643128|0.13779661|0.18838567|0.13662198|0.40303767|0.29096171|0.34513468|0.2852478|0.29852834|0.053876467|0.16482794|0.37763822|0.11218031|0.63252097|0.40608367|0.14147803|0.75158286|0.24097294|0.043002859|0.87925565|0.070242748|0.13434537|0.10115892|0.11462508|0.35612082|0.10060202|0.36349088|0.5658251|0.14321864|0.076462932|0.058638453|0.17357662|0.33565548|0.39085606|0.14099245|0.34123728|0.35799718|0.22055963|0.34702253|0.05328697|0.7138083|0.26852155|0.14329977|0.24383238|0.2109859|0.16518348|0.10362571|0.15794644|0.18174377|0.31491873|1.0|0.053783674|0.59792566|0.35201031|0.15226935|0.3716113|0.25493509|0.081977248|0.1296671|0.10857344|0.15093662|0.29766205|0.74398172|0.15453801|0.18708594|0.12725754|0.1858651|0.078209542
Aceites minerales y ceras.|0.012714974|0.073924102|0.035742864|0.0|0.059702888|0.058980271|0.050228316|0.047969587|0.20135371|0.16965693|0.04986643|0.036851048|0.16119467|0.16130593|0.37675411|0.025243478|0.067522846|0.1567537|0.30848271|0.040246122|0.047286384|0.036552355|0.18987548|0.24838577|0.29066673|0.31817067|0.1962707|0.059547454|0.066205665|0.1069129|0.082087509|0.079921156|0.19364116|0.15626879|0.19522078|0.35698187|0.038306944|0.46103409|0.039969146|0.26883829|0.046423294|0.019588662|0.066023797|0.046952158|0.04303797|0.097475082|0.053949915|0.063357837|0.033793554|0.065102078|0.054719713|0.046992593|0.058162939|0.036310799|0.066438481|1.0|0.076041967|0.057452545|0.031306997|0.027378628|0.071528643|0.33167154|0.083706118|0.06234891|0.039574482|0.036194623|0.38538754|0.13225189|0.056128286|0.11381622|0.21548952|0.1318159|0.042151652|1.0|0.050761513|0.10802856|0.10054742|0.056963265|0.062471565|0.039676979|0.061542109|0.048553575|0.11737476|0.24972805|0.045278504|0.27023643|0.043486178|0.26213455|0.018768702|0.058703311|0.048622798|0.037974052|0.054325614|0.035842251|0.062590845|0.036948182|0.050300315|0.17676109|0.078737408|0.044702291|0.10249618|0.046734292|0.059697222|0.096373193|0.047622539|0.29572999|0.38056824|0.019382633|0.041734368|0.057289168|0.11450462|0.10122146|0.051130913|0.14019224|0.071424514|0.066313751|0.042698033|0.054319136|0.081768543|0.2859486|0.15665105|0.076599583|0.053571347|0.10347901|0.041045666|0.068964981|0.13172698|0.048630081|0.10312053|0.28643999|0.047343992|0.27681726|0.047900252|0.046868347|0.28453621|0.06358771|0.058687739|0.049167812|0.042156003|0.36770347|0.069652297|0.31169078|0.058324754|0.053719684|0.050382961|0.061710775|0.075630173|0.11269595|0.19085094|0.046137061|0.10964566|0.062070951|0.069054879|0.34941587|0.073582105|0.04646321|0.39182019|0.068415783|0.060920864|0.12134643|0.11581499|0.077811405|0.055961676|0.072392419|0.10119043|1.0|0.04715978|0.56948411|0.35201031|0.10646783|0.4224804|0.39081877|0.074180633|0.043190576|0.05157271|0.054104436|0.24021117|0.071860626|0.097949103|0.085860163|0.12725754|0.055551924|0.075821355
Adhesivos y materias albuminoideas|0.65275955|0.61317933|0.37160653|0.41504276|0.62844342|0.61504108|0.57846689|0.5318467|0.62749165|0.72557819|0.61006105|0.66140139|0.69879246|0.55389059|0.61213708|0.44993031|0.62216115|0.76733005|0.55006361|0.58392602|0.73745906|0.54873067|0.62321806|0.64574194|0.65183198|0.69351655|0.74275476|0.44740826|0.25643301|0.47566694|0.51327527|0.55726653|0.62935728|0.51232165|0.32071602|0.51747179|0.23523465|0.64785314|0.77835202|0.46711347|0.25131473|0.45016247|0.59254748|0.18018067|0.47166216|0.43656507|0.39476159|0.8396821|0.69369638|0.18280196|0.38839966|0.61051714|0.28280127|0.73950195|0.208609|1.0|0.29980332|0.26562607|0.44846156|0.41831616|0.26935381|0.41064689|0.46833161|0.2216475|0.37507147|0.5270943|0.54054868|0.53745043|0.39987436|0.65823066|0.73002434|0.42743391|0.59271932|1.0|0.73106402|0.49254611|0.47459701|0.56337041|0.7839151|0.75596631|0.29891965|0.63558364|0.72849417|0.24972805|0.547472|0.62723517|0.38181254|0.26213455|0.68341178|0.67472512|0.48264199|0.181602|0.38861349|0.343869|0.41972232|0.37497193|0.62532634|0.60738945|0.48605531|0.24743427|0.48266226|0.31426966|0.25726712|0.46221954|0.35531029|0.29572999|0.52006847|0.21542914|0.3807852|0.39443046|0.48963356|0.44406804|0.40463725|0.50102687|0.49533743|0.48371118|0.38643715|0.47825038|0.49129671|0.352694|0.55904579|0.7359854|0.4976556|0.43560836|0.25039846|0.23648089|0.56476408|0.34019262|0.44326466|0.75343359|0.39713314|0.68445665|0.46930033|0.32034832|0.66473925|0.21558711|0.25779599|0.59717083|0.49583596|0.53349125|0.26770273|0.43270507|0.7594384|0.45755398|0.24432816|0.24062872|0.42615658|0.48963475|0.56143761|0.39873928|0.49424559|0.26226917|0.74915206|0.4551847|0.42218906|0.58691412|0.52529258|0.24661906|0.18605712|0.56934613|0.31430948|0.21488266|0.48222452|0.46967453|0.47152635|1.0|0.33616352|0.53287899|0.35201031|0.52766323|0.94293118|0.49360073|0.33901811|0.39444739|0.45049259|0.40713394|0.79243904|0.70870101|0.35924712|0.49194023|0.29796124|0.48653522|0.53773594
Aeronaves y sus partes|0.88672996|0.13395476|0.1857729|0.70353717|0.71822405|0.74921834|0.72973919|0.19241822|0.64735365|0.4499419|0.66088617|0.095937885|0.78324932|0.71555191|0.62358093|0.41065139|0.73673964|0.69384623|0.48725802|0.6338101|0.52176201|0.29717422|0.1347152|0.74859488|0.50896561|0.64474535|0.76676738|0.12689321|0.28307542|0.46964639|0.4840512|1.0|0.74860168|0.25614995|0.20019278|0.48332137|0.39658928|0.59875005|0.54219109|0.32964444|0.13179687|0.36787659|0.40999183|0.13492848|0.31521302|0.63823521|0.16792345|0.1088239|0.1735335|0.60567397|0.10842466|0.82855999|0.11878471|0.68970209|0.38030076|1.0|0.19569707|0.15909496|0.400296|0.55948091|0.16688743|0.48199087|0.26301709|0.17697914|0.092396557|0.44788522|0.28138119|0.53203237|0.046492666|0.45526356|0.31168935|0.19683108|0.22940406|1.0|0.51969481|0.4873555|0.46958667|0.10272157|0.62855035|0.68376017|0.17500943|0.49129617|0.33048898|0.24972805|0.12069605|0.38528436|0.26090509|0.26213455|0.54716736|0.4082883|0.10368177|0.12627883|0.10588135|0.20951743|0.21434352|0.20757635|0.21272421|0.22391428|0.31423479|0.2427408|0.47770959|0.2020501|0.12977448|0.33255953|0.10775977|0.29572999|0.39389342|0.16101618|0.20647793|0.2686879|0.48348245|0.27856022|0.25594819|0.35666329|0.14107314|0.14410637|0.097285226|0.3674306|0.22955388|0.29478335|0.26226375|0.33209831|0.4588263|0.43052739|0.11842923|0.59402275|0.55809313|0.21168679|0.37897742|0.35917628|0.11339246|0.35091248|0.094366334|0.43157265|0.46701378|0.13785982|0.39778292|0.12642542|0.17188638|0.49581578|0.14719279|0.35275596|0.32115355|0.28234136|0.15782304|0.47929236|0.14715518|0.4845618|0.51822317|0.10357725|0.48808822|0.045374267|0.11610839|0.42560229|0.046417691|0.13958752|0.43546548|0.63387978|0.13444673|0.52360946|0.10004251|0.060702823|0.32929051|0.14861715|0.46548656|1.0|0.3224622|0.092870526|0.35201031|0.23293683|0.57028419|0.35760772|0.49530482|1.0|0.29270715|0.11662426|0.36122417|0.14147924|0.12233947|0.17914273|0.12725754|0.46026427|0.16423081
