Subsector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Curazao|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Nigeria|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Panamá|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|San Marino|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Abonos|0.054870438|0.080338195|0.23695758|0.0|0.61516136|0.058831982|0.084806837|0.28066009|0.59054106|0.62433374|0.2697868|0.16383952|0.56815302|0.20267867|0.4819721|0.030051526|0.18198231|0.72830522|0.053250358|0.22215231|0.13544689|0.057555098|0.062777475|0.38375041|0.23829201|0.071222648|0.99146426|0.090301141|0.1895352|0.26884162|0.11414719|0.075021207|0.66803592|0.073075958|0.20852739|0.53740859|0.15669015|0.4914242|0.38166732|0.77698904|0.15171635|0.043081291|0.64319319|0.63772702|0.82097948|0.82567704|0.34405786|0.50210762|0.057006575|0.13647109|0.076769054|0.87197411|0.30212|0.54241842|0.34386677|0.089328162|0.21667762|0.23382735|0.31912082|0.61238587|0.18713659|0.42965233|0.68953025|0.21112362|0.42013353|0.32922935|0.5489096|0.18974179|0.20690179|0.50540674|0.039664697|0.12418263|0.39052546|0.11725824|0.51931047|0.10376118|0.032144248|0.2220645|0.0348338|0.71818709|0.24953157|0.844733|0.87001371|0.20043778|0.38796234|0.63863188|0.10014246|0.068351284|0.17758963|0.40304816|0.23436557|0.43710703|0.34952012|0.26467913|0.62779093|0.26068068|0.64089036|0.45503724|0.031862792|0.49550194|0.15025125|0.0|0.59451073|0.16040657|0.23043767|0.031859141|0.36611131|0.89168572|0.044994209|0.15928605|0.65921521|0.80065632|0.5242182|0.29103234|0.064317405|0.24025267|0.061420452|0.10929328|0.0|0.62798131|0.28077003|0.61833125|0.70266485|0.66082299|0.0026006615|0.73413944|0.362472|0.32163882|0.7673043|0.041521639|0.15318447|0.28749606|0.89122021|0.39228892|0.78115499|0.61138564|0.35322219|0.35144803|0.34662646|0.22428605|0.2294842|0.44302836|0.372594|0.27461097|0.2031846|0.12653525|0.027385017|0.0|0.72793674|0.48041707|0.061161418|0.44569686|0.2155169|0.24570498|0.05255514|0.53444952|0.82381892|0.51472527|0.32410747|0.22389534|0.33514604|0.81016201|0.64592272|0.56766093|0.14533213|0.044409297|0.46107656|0.11558459|0.24485888|0.16906212|0.5738188|0.10384066|0.54589456|0.67653668|0.40785468|0.82602191|0.27912319|0.14435208|0.2164081|0.75435948|0.20255297|0.36975068|0.77470386|0.86828017
Abrigos y similares|0.40375596|0.77422899|0.80816895|0.57400548|0.35867941|0.11897172|0.14080198|0.3353636|0.36216658|0.43145049|0.53974891|0.31615165|0.51408565|0.75499499|0.4966501|0.39546925|0.27159563|0.18956381|0.22377203|0.36746141|0.25808647|0.55836248|0.40365463|0.36063081|0.4751516|0.24606881|0.49133438|0.2532067|0.31006035|0.35435933|0.45959216|0.39073297|0.61023754|0.11429428|0.16810896|0.24552548|0.63337469|0.17319232|0.48482734|0.47742131|0.52297324|0.15893774|0.13956214|0.75892198|0.34450066|0.24846756|0.56436598|0.45405221|0.15052521|0.73561954|0.31324098|0.50141037|0.10249579|0.27815929|0.42026347|0.31830817|0.51713961|0.55233908|0.70066667|0.61590868|0.54555756|0.31916106|0.25848937|0.44482416|0.19425708|0.72274852|0.19910008|0.20275041|0.66609752|0.20673457|0.55605441|0.18650821|0.61107516|0.92346656|0.22844243|0.20377849|0.19222865|0.27518779|0.16658053|0.2073447|0.32992333|0.36924756|0.21080434|0.37409246|0.63267887|0.11139895|0.6724664|0.1559691|0.48070422|0.6073314|0.14211673|0.65966046|0.28138191|0.65102541|0.29386404|0.47904909|0.49283057|0.14054981|0.36404997|0.65685064|0.29532743|0.0|0.53909683|0.55667883|0.36944163|0.73604453|0.14660178|0.29484373|0.15680408|0.50808883|0.16995066|0.33029306|0.24906094|0.22679038|0.23806769|0.46211129|0.59058541|0.53387648|0.0|0.35790825|0.19902703|0.50490814|0.25311473|0.16364102|0.57581711|0.49360153|0.27193537|0.22694322|0.13583185|0.075992323|0.44675946|0.30186039|0.48196262|0.67802489|0.53669995|0.27879101|0.40849346|0.73449194|0.69665104|0.21639593|0.62269068|0.33803204|0.11066613|0.16893569|0.37865132|0.61437356|0.15162641|0.0|0.16495052|0.5873667|0.20415138|0.17972246|0.47255903|0.064920589|0.41434297|0.1546956|0.51504242|0.371149|0.69645095|0.84567189|0.21191216|0.21295333|0.65522933|0.22160146|0.43406582|0.17411511|0.19685577|0.19299771|0.22149172|0.41704619|0.56746835|0.29608816|0.23463827|0.69703102|0.31355751|0.4576264|0.30271405|0.2483561|0.45370626|0.021723775|0.3638556|0.44308951|0.25964516|0.30428463
Acabados para la construcción|0.62795055|0.63657069|0.70977771|0.84677589|0.6446659|0.61956495|1.0|0.67157495|0.62814224|0.53799808|0.80039692|0.89060038|0.78991961|0.86796355|0.84769267|1.0|0.66723335|0.69842947|0.93953717|0.82730496|0.9482826|0.5423528|0.44738007|0.63177156|0.69521558|0.7885946|0.37584972|0.68933165|0.58349562|0.80849701|0.79114318|0.77598417|0.63135028|0.80306697|0.78559065|0.858495|0.59718382|0.69665664|0.69650495|0.20167235|0.94928646|0.73203099|0.69917858|0.66454095|0.79508954|0.86349285|0.90089357|0.56145883|0.71096539|0.88657665|0.83624947|0.67377162|0.41241193|0.80799675|0.38594365|0.57506418|0.66766691|0.73344344|0.4364633|0.74175644|0.6931479|0.66068941|0.82961047|0.86065221|0.83787745|0.8723954|0.92389882|0.85015106|0.92386776|0.86499029|0.59768355|0.83429301|0.57786286|0.89033407|0.75436825|0.83483815|0.8615371|0.74822521|0.65422148|0.72841686|0.70400631|0.47084111|0.56199223|0.8742137|0.8107183|0.31009251|0.85703027|0.99104512|0.91212225|0.52805638|0.86493886|0.76238394|0.68719661|0.78358006|0.76811486|0.74559587|0.4851501|0.82470292|0.73716033|0.71816349|0.76512432|0.0|0.751055|0.94395781|0.65523505|0.53918099|0.73694611|0.53110462|0.81220138|0.7999472|0.84182847|0.79098862|0.96278417|0.78186333|0.71717453|0.8932153|0.85362065|0.99272084|0.50531697|0.62398833|0.66579956|0.47903991|0.76156837|0.71399581|0.7506752|0.81533855|0.79045975|0.70024276|0.46065581|0.81793016|0.5665077|0.63246173|0.74596965|0.79904616|0.74168783|0.49084145|0.54550028|0.71755064|0.83889592|0.75894213|0.69382131|0.84630746|0.8772974|0.83188331|0.68610907|0.64712691|0.84239846|0.0|0.83213651|0.77964449|0.90331638|0.87484676|0.78186435|0.76272023|0.74260169|0.65379667|0.48394465|0.72625202|0.87403405|0.91253966|0.79036552|0.51934969|0.65755695|0.72480255|0.87979454|0.84613466|0.19465977|0.85954154|0.90617561|0.84684825|0.3829011|0.81768095|0.49430948|0.43924773|0.73144364|0.77117825|0.77543712|0.87027395|0.67978573|0.30738664|0.69901365|0.81360245|0.56928754|0.76336873
Accesorios|0.49717063|0.72723883|0.67464697|0.74536735|0.54205048|0.67491674|0.6303491|0.71136415|0.64540976|0.71144474|0.69606519|0.57206869|0.74116457|0.75120705|0.73322588|0.58745784|0.61359298|0.58008409|0.7774874|0.68049645|0.71721667|0.59888923|0.76612294|0.70458192|0.84919995|0.54948515|0.69651902|0.58795893|0.82059562|0.63574326|0.63901198|0.61170328|0.70897567|0.63349479|0.62859577|0.68480504|0.77243948|0.5869332|0.56796688|0.40333167|0.8296963|0.69820595|0.59278321|0.67657334|0.74961138|0.59940577|0.77231586|0.70088446|0.62387323|0.83767021|0.70565963|0.70508564|0.71442741|0.56801581|0.67117715|0.62799215|0.68612498|0.67722303|0.67039818|0.77425861|0.73280603|0.68439782|0.53451538|0.80740374|0.68455648|0.74583346|0.83101553|0.67461407|0.7684803|0.69051313|0.63296032|0.61454868|0.66977346|0.49581367|0.56650698|0.69204265|0.6627326|0.64386684|0.56742424|0.63574654|0.66535187|0.71455622|0.59509355|0.73760217|0.75643241|0.55368733|0.75915128|0.83662355|0.8246662|0.63481247|0.71701753|0.63336468|0.56705761|0.7326982|0.61478114|0.90389192|0.81284535|0.65872222|0.54498482|0.80821246|0.51628441|0.0|0.86171567|0.73346233|0.53467888|0.59742725|0.56940043|0.49252725|0.74700856|0.70476377|0.52870095|0.70018756|0.78179085|0.4860701|0.64173281|0.77540421|0.65524447|0.76084387|0.56883454|0.65273595|0.52021492|0.67509413|0.61655474|0.63988411|0.73749012|0.79907417|0.60616875|0.76432729|0.514283|0.72921532|0.64062941|0.53773153|0.62979066|0.71898514|0.63660872|0.75771523|0.77022046|0.61216176|0.7440474|0.56836569|0.81865078|0.6359157|0.65544683|0.67092091|0.79003865|0.87891167|0.58185232|0.0|0.58164972|0.70973039|0.81218624|0.68018174|0.73239744|0.61645746|0.63945723|0.67868435|0.54258829|0.63729787|0.80400443|0.81772155|0.59540915|0.61473775|0.48523057|0.5607928|0.67712343|0.60111266|0.22198492|0.6955955|0.79916269|0.74704927|0.53100723|0.70485485|0.74055028|0.67256224|0.6076318|0.6675117|0.71480912|0.73508203|0.69624287|0.65818655|0.62597954|0.72539377|0.54770464|0.65078855
Accesorios (moda)|0.54059988|0.64167058|0.61423504|0.55516183|0.58683491|0.59114671|0.47871649|0.51508749|0.41757065|0.39959067|0.36871445|0.69561386|0.52116984|0.7130962|0.42284024|0.4875057|0.39295471|0.31152347|0.34929305|0.58894229|0.45596954|0.53407151|0.45306143|0.44961181|0.44668084|0.62820572|0.54397029|0.7951467|0.52086014|0.40141115|0.46846259|0.532538|0.50260317|0.29924712|0.3665849|0.50414443|0.56935591|0.55154037|0.53575397|0.36690596|0.5603534|0.58577144|0.42815965|0.69022906|0.50204253|0.42562419|0.41566432|0.44428498|0.48207477|0.62161672|0.44093782|0.46639854|0.16944963|0.31561184|0.57234925|0.49147695|0.441522|0.43644696|0.51863599|0.64303732|0.52074188|0.45855641|0.29562557|0.64671093|0.62201619|0.58588481|0.42621586|0.51986116|0.51100713|0.49631846|0.44105047|0.4308688|0.55745453|0.74218673|0.47288609|0.51224577|0.41672558|0.34765857|0.41586465|0.46066004|0.51470768|0.39856452|0.25067872|0.54032451|0.60885406|0.077618167|0.63648379|0.59490597|0.46618468|0.48345026|0.40280825|0.60302305|0.63311124|0.53516603|0.3977046|0.65809876|0.67051303|0.42042816|0.64111781|0.58680081|0.32703319|0.0|0.49913692|0.53024387|0.29940122|0.72385621|0.57343|0.31451643|0.59931636|0.59089553|0.33859652|0.41293991|0.57557225|0.3889128|0.57406545|0.45129326|0.45049238|0.46592134|0.2959058|0.43720347|0.25890011|0.53374243|0.35189268|0.39799851|0.52006745|0.45182198|0.49550009|0.53846413|0.34108031|0.36596876|0.44956809|0.44449806|0.49437833|0.51133251|0.49320874|0.55588007|0.47082239|0.49594039|0.40621352|0.57333386|0.55617493|0.47954893|0.48861676|0.53255779|0.50050837|0.6565001|0.42682236|0.0|0.39687532|0.33869866|0.52196419|0.50247484|0.5675264|0.22471043|0.57270265|0.51782608|0.50523072|0.50322843|0.62868285|0.69940603|0.38745743|0.5391072|0.3930921|0.4324246|0.42922497|0.56177342|0.25819394|0.45280641|0.49170738|0.52725548|0.35262936|0.38740724|0.55858576|0.51983732|0.48801267|0.41297758|0.22855026|0.40499651|0.59635901|0.30962148|0.61061639|0.5441429|0.46901625|0.29564846
Aceite de palma|0.86377233|0.096397415|0.60382676|0.1049083|0.83554769|0.058831982|0.28583357|0.70697105|0.60131472|0.51686603|0.2429318|0.06331604|0.22638795|0.37776321|0.74381679|0.035825081|0.53631794|0.77343643|0.36043024|0.19321975|0.73597252|0.075946398|0.19086963|0.39868575|0.19568774|0.13734473|0.63442099|0.59781885|0.33719611|0.60173339|0.60910922|0.22461163|0.63562399|0.53014308|0.30911845|0.7723465|0.37478203|0.61450839|0.38516125|0.68559599|0.19454573|0.85051787|0.93634218|0.61004472|0.14053312|0.55373144|0.28277445|0.28835678|0.27684718|0.50081456|0.59394062|0.40642053|0.81409597|0.78099|0.54044068|0.6854856|0.2585479|0.17525661|0.76350927|0.41970992|0.68091416|0.94829321|0.82036614|0.11564872|0.58644664|0.35359707|0.40086862|0.8585515|0.23532259|0.67896533|0.074179396|0.27107209|0.64886647|0.2988103|0.37482285|0.58719778|0.57834411|0.48456609|0.87832546|0.49525237|0.40473223|0.90835202|0.0|0.48847419|0.50518793|0.7834335|0.14066966|0.0086159119|0.28353864|0.83711517|0.46131784|0.47035164|0.64807665|0.2698859|1.0|0.38771012|0.13663827|0.45728248|0.30003238|0.18084803|0.79578465|0.0|0.40706044|0.097722076|0.60220742|0.19991833|0.86518085|0.60623169|0.23026425|0.18645087|0.82571822|0.54820442|0.31074846|0.83003986|0.75228298|0.22380298|0.4212383|0.25115341|0.0|0.81304812|0.87936997|0.45070732|0.68428922|0.75133437|0.12291931|0.25851125|0.71157402|0.82205635|1.0|0.6095947|0.4543888|0.092289925|0.060117926|0.85266203|0.21603957|0.53626227|0.32320499|0.39496452|0.46947408|0.80510753|0.31333679|0.49902761|0.66937476|0.97329658|0.3881999|0.82484365|0.2111322|0.0|0.79579079|0.42979199|0.18389015|0.39477682|0.48896483|0.80131173|0.8743912|0.52763438|0.7548418|0.68639755|0.52120835|0.15252838|0.45248055|0.0|0.44497898|0.69955492|0.060356349|0.86149657|0.5624584|0.7007336|0.66441905|0.26298931|0.6569224|0.42973816|0.64489269|0.6150372|0.96391916|0.63230157|0.45207638|0.78046525|0.48108119|0.6497426|0.71778738|0.99291456|0.74086118|0.69451916
Aceites esenciales y resinoides|0.55125785|0.23976812|0.21688776|0.36870137|0.53159654|0.51217335|0.32611465|0.56762683|0.76710683|0.55277747|0.37955898|0.49938399|0.34452701|0.55097789|0.57880598|0.22883558|0.52951556|0.56808937|0.67285329|0.31782696|0.58587247|0.32613793|0.65369606|0.54975259|0.37082347|0.41538709|0.53579837|0.2426604|0.3648743|0.38882771|0.66233051|0.34208483|0.35397342|0.47270018|0.51565164|0.61485028|0.47198015|0.76987028|0.46065274|0.43695489|0.61002034|0.25172958|0.73075747|0.51297009|0.56457055|0.562343|0.37858954|0.37717986|0.35304177|0.36897886|0.36516985|0.68579149|0.46045664|0.60581887|0.65472138|0.41898203|0.33385378|0.33682656|0.62227118|0.48943692|0.32140133|0.49712372|0.81261492|0.43972445|0.4290331|0.67268014|0.54657263|0.43293208|0.65203476|0.55909204|0.17538926|0.43599275|0.59009767|0.31375438|0.77412063|0.37015042|0.43298745|0.66577297|0.60175115|0.48212379|0.41302168|0.53818667|0.69201261|0.61151779|0.6466254|0.71628469|0.2575272|0.28881606|0.56794155|0.50885576|0.64210272|0.33380777|0.72212708|0.57100761|0.58003455|0.49421155|0.31389251|0.5065273|0.55312359|0.3046487|0.63056588|0.0|0.57831776|0.30280986|0.44973081|0.19612177|0.32678655|0.60367972|0.43950033|0.35361642|0.46307129|0.48105103|0.32581198|0.30962408|0.22473294|0.27394608|0.44575357|0.14204451|0.3575561|0.62091124|0.63437831|0.77878177|0.42446393|0.72802341|0.39613438|0.45429707|0.20249298|0.65750575|0.74650192|0.078992441|0.58270288|0.47538871|0.65118313|0.34845614|0.59192157|0.52962899|0.37958091|0.21488351|0.51911938|0.4182446|0.4547506|0.61886948|0.70387745|0.62645817|0.60764134|0.80350983|0.60357136|0.0|0.50429356|0.60618734|0.59285021|0.63397676|0.54318947|0.63999635|0.37601674|0.58066368|0.69211113|0.64050406|0.47730511|0.33794186|0.41655901|0.74646556|0.49600762|0.71325254|0.55868709|0.5068565|0.26074782|0.20043546|0.61098486|0.57404292|0.65298706|0.26014975|0.61776006|0.47996354|0.78490984|0.44612092|0.73463321|0.52344048|0.59903729|0.6892854|0.50749964|0.40379843|0.7084285|0.65864158
Aceites minerales y ceras.|0.023987224|0.034869738|0.10091435|0.0|0.11539671|0.058831982|0.047705606|0.34555119|0.095236808|0.16568026|0.091062546|0.046216201|0.093365036|0.042924806|0.32924929|0.041763395|0.02273073|0.15830818|0.026337398|0.057230767|0.20298727|0.015036823|0.13286361|0.10626431|0.028388038|0.038826443|0.22389466|0.16196236|0.044120457|0.043284155|0.06098447|0.31452411|0.066354096|0.0|0.029528398|0.26185265|0.055825215|0.029200852|0.046009764|0.60720456|0.074285999|0.021635365|0.041431718|0.35747856|0.086695947|0.10156651|0.026987113|0.11817228|0.042965811|0.052177504|0.11221382|0.087799817|0.13174109|0.11859494|0.22197464|0.2805973|0.057672389|0.088501066|0.085485063|0.10432945|0.047802698|0.08509554|0.47083855|0.081215099|0.11617287|0.087302878|0.21649975|0.035734065|0.06561771|0.12064047|0.039664697|0.022445841|0.029228065|0.092433244|0.035700634|0.11301534|0.080501959|0.15667537|0.045629635|0.0|0.036717709|0.22078288|0.13822824|0.056718051|0.24745989|0.38459906|0.056615561|0.1180197|0.064242408|0.070465162|0.062634222|0.70444936|0.0|0.036400408|0.070900634|0.016018547|0.053771183|0.11215405|0.010369567|0.0063502351|0.027480591|0.0|0.019588059|0.045043334|0.02611677|0.031859141|0.036199067|0.52376431|0.0|0.056946948|0.14191565|0.036373131|0.015503156|0.11148708|0.064317405|0.054957055|0.017683022|0.032070406|0.0|0.075807914|0.092435211|0.12964162|0.042152785|0.47799379|0.20590153|0.060885832|0.073111482|0.076797009|0.19477859|0.041521639|0.032128893|0.1259792|0.13986579|0.054516494|0.096721306|0.085572705|0.048585974|0.015447494|0.051527165|0.038741436|0.073698133|0.10568221|0.10511211|0.13534203|0.079674274|0.28629059|0.027385017|0.0|0.02080326|0.059536874|0.018510789|0.035680149|0.14986655|0.054013096|0.038435783|0.071599253|0.11495631|0.089543633|0.075104788|0.092955083|0.36076555|0.55669117|0.356787|0.06723737|0.28204498|0.014918495|0.46107656|0.058746938|0.30247727|0.33146489|0.21147707|0.10384066|0.17422345|0.093755193|0.096612185|0.065645665|0.053512007|0.098679915|0.17018023|0.14195625|0.1313097|0.017686108|0.067108497|0.082585499
Adhesivos y materias albuminoideas|0.4681775|0.5210216|0.64525336|0.28999007|0.57006109|0.50522166|0.42841703|0.52632111|0.7517997|0.75124168|0.54868507|0.3881515|0.50578362|0.63140714|0.46932238|0.37890637|0.51253325|0.6619091|0.45207506|0.41739261|0.62046462|0.32061625|0.74860239|0.67309892|0.62106901|0.44401938|0.75510001|0.3275553|0.46637547|0.49893281|0.60476071|0.44916505|0.38353485|0.4405899|0.69316912|0.59151882|0.63105947|0.5589475|0.64504933|0.73812014|0.49545389|0.37591547|0.69610393|0.80846655|0.7115525|0.54471809|0.67050052|0.58987898|0.30507672|0.59589589|0.47785389|0.75279331|0.72021019|0.66466248|0.54538918|0.52936727|0.58366203|0.68230808|0.68741208|0.48338076|0.63796353|0.61752105|0.85948253|0.50662595|0.72296166|0.4828344|0.72139597|0.54067969|0.49638838|0.60267699|0.29383221|0.56439656|0.65915799|0.36561596|0.62655127|0.50276643|0.49567223|0.49021909|0.62453437|0.61349022|0.72756875|0.71150637|0.73971283|0.48568279|0.56155485|0.6904093|0.43796009|0.4988856|0.62886602|0.51449418|0.49669325|0.73991829|0.62185222|0.53259844|0.62521225|0.5222975|0.66130507|0.55665898|0.46255612|0.6131981|0.42675281|0.0|0.59219486|0.81552243|0.64309072|0.30594993|0.55162454|0.79972655|0.36865968|0.57057077|0.60134238|0.66847008|0.43457675|0.61064005|0.29941139|0.53491807|0.69096959|0.38370526|0.42508182|0.46928257|0.72941118|0.70238584|0.57904208|0.64853543|0.38327295|0.54153931|0.52921355|0.5358308|0.73633766|0.37430263|0.51526368|0.16486084|0.68989861|0.72966921|0.63903904|0.78382313|0.5508765|0.43767661|0.59547794|0.51769793|0.72511065|0.5665108|0.58851093|0.57192087|0.57562119|0.84570646|0.48286533|0.0|0.57452083|0.65028656|0.50740242|0.46882394|0.7255674|0.58987916|0.50940621|0.68457282|0.7807129|0.57435864|0.60247326|0.54096985|0.4497923|0.63189912|0.70376301|0.547032|0.48383042|0.53779095|0.67598319|0.50151157|0.52465129|0.59787595|0.69877613|0.29988119|0.76038384|0.57434672|0.62984037|0.61315823|0.68113267|0.50847065|0.63875014|0.77272236|0.4806551|0.43552393|0.65222967|0.55310404
Aeronaves y sus partes|0.34220055|0.71846092|0.37089294|0.18696028|0.61004186|0.27647477|0.38216823|0.76612461|0.44382221|0.42475039|0.38769343|0.080724545|0.64996535|0.34892756|0.23475924|0.39243001|0.82736194|0.55650002|0.12962389|0.59183133|0.33560714|0.073152125|0.32110703|0.58812869|0.11980534|0.4563694|0.81781745|0.96159941|0.39867771|0.4137699|0.083032176|0.46260357|0.29711109|0.22379544|0.29339671|0.24298534|0.45183495|0.44401389|0.39322212|0.51598549|0.72511137|0.19389342|0.61802816|0.48675707|0.21722277|0.1854289|0.4346405|0.18001267|0.39330769|0.37732959|0.1691405|0.21686587|0.62305856|0.14397946|0.67477816|0.30312055|0.15101218|0.50505233|0.60927141|0.58245087|0.21232797|0.58915269|0.54738176|0.37348723|0.65016496|0.40249857|0.39223322|0.087292351|0.57987118|0.53077149|0.26204023|0.082133077|0.47135419|1.0|0.41068166|0.16163984|0.14728922|0.39992893|0.16933212|0.1561746|0.34025431|0.77747726|0.3286795|0.23654068|0.94756114|0.37612522|0.80417037|0.46456307|0.40696198|0.23100838|0.2834841|0.54720742|0.53486276|0.76131809|0.535285|0.62226284|0.14117754|0.41225758|0.15650229|0.75343478|0.18277454|0.0|0.43501642|0.59513235|0.70322281|0.26241946|0.26107913|0.59580904|0.97837681|1.0|0.30505019|0.78855306|0.39541876|0.33289659|0.69273019|0.27992067|0.83226311|0.19595096|0.26934448|0.34230608|0.3342315|0.1682741|0.15397142|0.67598552|0.4951632|0.69973135|0.92309034|0.59558058|0.53436041|0.15033796|0.06933938|0.64983869|0.28128403|0.5914948|0.2291116|0.4482536|0.55422968|0.79177582|0.58317876|0.87688291|0.2080355|0.54237473|0.15121984|0.41811636|0.14071518|0.43961883|0.10787949|0.0|0.12896791|0.67381299|0.54860258|0.097588964|0.76181018|0.16724838|0.28830555|0.4226715|0.4743728|0.25955856|0.23963383|0.50696123|0.62957835|0.47077519|0.5642662|0.37914392|0.73851085|0.16863649|0.98414117|0.38017133|1.0|0.60016847|0.74161851|0.22499803|0.22924748|0.4751212|0.60120195|0.24100932|0.64875603|0.40770662|0.26679543|0.18507364|0.09448006|0.58298588|0.3008779|0.62930965
