Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación Hospitalaria|Dotación hospitalaria|Envases/Empaques|Envases/empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Joyería y bisutería|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Textiles y confecciones|Vehículos y otros medios de transporte
Afganistán|0.62468421|0.59345526|0.64461136|0.59591961|0.6285764|0.66229057|0.64776361|0.75644612|0.69880748|0.5784508|0.61836469|0.69141424|0.49360502|0.36407238|0.68943584|0.57822996|0.62764668|0.36405995|0.56522655|0.71938372|0.49615026|0.36405995|0.60084009|0.64461559|0.25385654|0.57597947|0.36373878|0.59422386|0.62868136|0.76405251|0.29060251|0.68534607|0.59431624|0.56803054|0.63881588|0.6392082|0.56069607|0.64675331|0.56351435|0.70617497|0.62543571|0.53888792|0.76949179|0.56763709|0.72044826|0.2300601|0.65386856
Albania|0.67766786|0.68965763|0.65580267|0.66792226|0.67594981|0.71771163|0.69647551|0.77017885|0.67419982|0.67517561|0.72855639|0.69474363|0.56908333|0.55029219|0.75770211|0.70417303|0.71236324|0.71753246|0.82247704|0.7907443|0.59212172|0.71753246|0.7420156|0.74356681|0.53822136|0.74508643|0.56500298|0.68886936|0.70218974|0.79883313|0.59229088|0.7358197|0.73232472|0.7195105|0.70755869|0.73259729|0.50725269|0.75313491|0.66632235|0.85167795|0.75103265|0.68503916|0.82670456|0.72667634|0.79104906|0.53435135|0.72454619
Alemania|0.76132703|0.70018595|0.53161538|0.32230675|0.69956601|0.57162511|0.59895229|0.22638571|0.7962842|0.86216509|0.62490237|0.28332877|0.64947128|0.84191239|0.45289701|0.59580123|0.64809656|0.51744127|0.64371443|0.43200159|0.7739647|0.51744127|0.66883755|0.77621627|0.60123402|0.50432318|0.55954611|0.79815865|0.48199922|0.63424206|0.71965694|0.25310296|0.34930855|0.47147432|0.54894012|0.58441627|0.73231226|0.62523925|0.71982127|0.89227772|0.54176462|0.63781106|0.47815579|0.55125481|0.54718077|0.63572866|0.53696203
Andorra|0.65391386|0.74604738|0.68427956|0.6367929|0.7036432|0.69376951|0.71295464|0.77309203|0.61447167|0.64920247|0.74967659|0.75157809|0.66697371|0.49086088|0.77356815|0.71945322|0.72394395|0.81724805|0.73180127|0.81765068|0.59806228|0.81724805|0.74602354|0.7261492|0.62342101|0.75092959|0.5848183|0.7158488|0.71471089|0.85164899|0.67035365|0.79790068|0.76677454|0.69681609|0.70026582|0.72536188|0.951114|0.71858251|0.67798972|0.84310615|0.77681637|0.6694901|0.85165036|0.70640624|0.80061781|0.61701804|0.76731372
Angola|0.67277551|0.61028612|0.70876563|0.62510264|0.59822947|0.65416956|0.67742699|0.81220305|0.66565788|0.52730465|0.64581537|0.86803865|0.48589888|0.26710713|0.70911962|0.5676111|0.68824768|0.56071717|0.63722193|0.74272835|0.46600658|0.56071717|0.73055238|0.63449013|0.41344872|0.67437494|0.44947225|0.56218016|0.66728383|0.70787036|0.46021214|0.7393738|0.67722881|0.62158978|0.74120986|0.62877285|0.64588553|0.82399011|0.6393804|0.76697326|0.70891261|0.65165818|0.80194104|0.67026722|0.73399335|0.39549112|0.67582917
Anguila|0.695328|0.75311303|0.70041704|0.66267341|0.6651991|0.70288914|0.71751654|0.82558072|0.56818873|0.4881857|0.78238201|0.79690403|0.5067029|0.35327375|0.81261992|0.75214958|0.73074311|0.94468391|0.70305449|0.84053457|0.53196454|0.94468391|0.71509528|0.70495152|0.70573658|0.72173464|0.55240333|0.72780114|0.70529228|0.87137663|0.76541972|0.83881736|0.71278089|0.7035358|0.71743143|0.74218857|0.74135166|0.78699994|0.71607888|0.90215164|0.75885022|0.60916698|0.89886928|0.69023716|0.75386572|0.71615875|0.81036597
Antigua y Barbuda|0.63421178|0.65701205|0.73561418|0.68332952|0.66874307|0.77073562|0.69949526|0.79341793|0.71048057|0.34395921|0.72474265|0.7106806|0.69182587|0.43078536|0.78311896|0.77369118|0.70153165|0.85369527|0.79280496|0.83412731|0.63132459|0.85369527|0.725734|0.75075155|0.74183416|0.6994704|0.56804466|0.67465234|0.77111912|0.81075078|0.69668877|0.82900536|0.73586309|0.75326121|0.77952576|0.68066055|0.70727623|0.74170434|0.62471169|0.83285737|0.76327652|0.66283745|0.83831924|0.69783378|0.79552555|0.64579374|0.83411705
Arabia Saudita|0.4842968|0.046038762|0.316122|0.015559563|0.23878944|0.47919756|0.35898715|0.060492218|0.28868413|0.27272642|0.04997462|0.86183381|0.48978209|0.70994502|0.082806475|0.27533072|0.31797314|0.12641428|0.10533702|0.0|0.43246305|0.12641428|0.048152182|0.12779903|0.069431998|0.23069116|0.44622946|0.49293187|0.37287164|0.2553727|0.097468905|0.069389991|0.4738507|0.2046347|0.37367803|0.42845905|0.35744497|0.46163818|0.0050979443|0.092206217|0.29478735|0.28064626|0.0|0.10928382|0.36148101|0.21662399|0.12777697
Argelia|0.73737031|0.70344192|0.69571042|0.67761219|0.74634933|0.70003033|0.68612826|0.75953937|0.92470515|0.77397525|0.68565154|0.91667348|0.59401405|0.57610631|0.75417399|0.68256682|0.69469821|0.67498165|0.72511595|0.73314333|0.60531229|0.67498165|0.7032932|0.76453286|0.50457519|0.76607072|0.59796309|0.65734112|0.7248596|0.72865486|0.5554288|0.86257923|0.7504946|0.70873833|0.81295359|0.77907753|0.73811376|0.88287425|0.65522701|0.80036038|0.77341306|0.69263315|0.7802707|0.77343625|0.77460003|0.48962528|0.74884367
Argentina|0.78321838|0.84396672|0.87618494|0.86313248|0.87435448|0.88651299|0.9052512|0.83580768|0.60209566|0.8568027|0.78676701|0.83861262|0.81658983|0.76111239|0.91626412|0.8795675|0.89924145|0.88409162|0.86264104|0.82331264|0.79731566|0.88409162|0.90227395|0.86853492|0.81631202|0.89502764|0.72677016|0.86159074|0.89783597|0.88849914|0.84920108|0.7207495|0.9018054|0.89850378|0.91227794|0.88006008|0.83449292|0.95098859|0.87118733|0.88850468|0.96547925|0.91361606|0.91384125|0.91714001|0.88255686|0.79972571|0.93857294
Armenia|0.52796698|0.53486419|0.47802526|0.49799633|0.55043674|0.57471865|0.57125962|0.65388387|0.53255832|0.51135349|0.56282884|0.59835148|0.58035398|0.53313136|0.61117363|0.66061938|0.56784582|0.23868495|0.54936028|0.65872753|0.4149344|0.23868495|0.56331748|0.59366596|0.34397012|0.5644294|0.38149178|0.53749084|0.55106944|0.64960432|0.18793812|0.62542033|0.60382158|0.5564571|0.55193883|0.58130509|0.51812005|0.59476441|0.55527186|0.66702628|0.60795915|0.52417618|0.74854094|0.57144582|0.5995633|0.12853904|0.56533289
Aruba|0.74120885|0.8222087|0.82025719|0.64472115|0.815727|0.78982854|0.78504241|0.76584661|0.85617667|0.78206277|0.83462799|0.828969|0.76057613|0.63870835|0.84712392|0.78324544|0.80128121|0.75368702|0.69102621|0.86101973|0.69228017|0.75368702|0.82355529|0.7584644|0.74934721|0.78789377|0.67469597|0.8265093|0.76623017|0.82999349|0.62029719|0.98121059|0.86368877|0.79006302|0.80815762|0.8430692|0.69854045|0.83964002|0.68395877|0.80858409|0.83280933|0.7585243|0.92405224|0.80757809|0.76956588|0.74718595|0.78417802
Australia|0.77912676|0.87356341|0.93543637|0.75154078|0.94428313|0.95040923|0.83848131|0.67409581|0.70270854|0.5443604|0.89238572|0.67086852|0.74530089|0.72510642|0.79415292|0.76397693|0.86919475|0.4106124|0.9701823|0.76458573|0.82207948|0.4106124|0.80283058|0.82223445|0.49796519|0.80374867|0.67164427|0.82314873|0.93092906|1.0|0.33018917|0.80475712|1.0|0.87505823|0.88325751|0.9618026|0.84921604|0.81237555|0.77823025|0.96421337|0.88081175|0.77670097|0.97636127|0.78074306|0.92575395|0.53145534|0.92079872
Austria|0.79873794|0.86322629|0.86220372|0.62869531|0.90053123|0.83270228|0.92553055|0.80503881|0.65606797|0.67213476|0.86414444|0.88373053|0.75647438|0.65612006|0.85535657|0.97217715|0.8065539|0.50526005|0.85733151|0.87782323|0.80753374|0.50526005|0.77176201|0.8789655|0.37939686|0.75561249|0.73260581|0.87278402|0.85833371|0.93093801|0.41204938|0.82145977|0.85158795|0.92845714|0.87827754|0.90670472|0.86401081|0.76658213|0.75705886|0.91460431|0.86941612|0.79211497|0.95893687|0.75573736|0.93396354|0.50933439|0.82424152
