Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación Hospitalaria|Dotación hospitalaria|Envases/Empaques|Envases/empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyería y bisutería|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Otros agrícola|Otros pecuario|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Textiles y confecciones|Vehículos y otros medios de transporte
Afganistán|0.60402775|0.069969445|0.69719267|0.26558784|0.36385626|0.18126479|0.3966541|0.37445807|0.35268116|0.5974313|0.1134228|0.13927387|0.24705958|0.17458703|0.2542797|0.26954624|0.415456|0.11403622|0.12303971|0.18272991|0.0|0.28040653|0.44420445|0.0|0.35390151|0.14916258|0.51115072|0.14838174|0.48843414|0.33190879|0.10622978|0.16492197|0.13376513|0.14694364|0.40254217|0.31465626|0.17825258|0.23432916|0.19159675|0.20994359|0.30524993|0.0|0.11246125
Albania|0.17362189|0.43542352|0.23371288|0.20819192|0.27362111|0.34973463|0.25524366|0.23418954|0.23123193|0.40565482|0.31355214|0.28584057|0.39251027|0.58611584|0.41088235|0.1918577|0.43171799|0.47087029|0.19260517|0.4607951|0.55845046|0.18000413|0.26204157|0.55845046|0.27068901|0.39567971|0.28598726|0.17676738|0.29592443|0.22705695|0.32202375|0.31463069|0.17276976|0.30325562|0.21105598|0.2812022|0.28495562|0.26439691|0.43324795|0.17519501|0.41150317|0.55845046|0.2225313
Alemania|0.9251079|0.90531075|0.83858824|0.78033346|0.95510888|0.88179994|0.92100513|1.0|0.66720355|0.99007517|0.92410183|0.92561924|0.78597116|0.98866582|0.97547698|0.90487432|0.83526605|0.9389019|0.82102454|0.79830134|0.94725901|0.85612965|0.8603878|0.94725901|0.89715648|0.96161681|1.0|0.87425619|0.95697093|0.93759787|0.90645278|0.87468815|0.87071979|0.95022017|0.96504033|0.90169978|0.90362263|0.87100488|0.75266278|0.96125102|0.97714901|0.94725901|0.88093853
Andorra|0.34173864|0.59165633|0.58627534|0.26258099|0.55673891|0.5446012|0.43812513|0.54977643|0.36751953|0.47424355|0.74207377|0.66342807|0.5910452|0.53134102|0.71926415|0.67547315|0.68617129|0.6344884|0.69765425|0.59481621|0.47442299|0.42336822|0.34125185|0.47442299|0.41447231|0.59028786|0.53345376|0.44899148|0.70862854|0.56828016|0.7475692|0.58041561|0.35884559|0.54290748|0.31017685|0.60185772|0.46716881|0.32373255|0.64382327|0.31584311|0.6019277|0.47442299|0.66221166
Angola|0.42390439|0.16055597|0.27304101|0.35126162|0.2900635|0.43852448|0.36297435|0.53040838|0.42227995|0.20495963|0.2299929|0.41131103|0.2087|0.15640911|0.28540432|0.34976453|0.34890538|0.22745311|0.42612332|0.18611068|0.14030291|0.33971697|0.26529446|0.14030291|0.31634602|0.25688973|0.18685961|0.34936649|0.2479057|0.36680678|0.23464234|0.32664603|0.44178373|0.22508432|0.39257538|0.32744282|0.39923751|0.36228567|0.48732695|0.28999692|0.28004241|0.14030291|0.34183961
Anguila|0.10087334|0.19554445|0.094074398|0.15114762|0.22221519|0.18497545|0.079388879|0.22785124|0.10203472|0.19315466|0.31660339|0.26641691|0.082194909|0.11142847|0.085149243|0.21556099|0.17166114|0.24668786|0.18316744|0.099891759|0.42458269|0.11702336|0.096206024|0.42458269|0.1272846|0.36462921|0.093594201|0.13217691|0.16046329|0.1425759|0.27698153|0.26402116|0.16174376|0.32297128|0.090229265|0.2465817|0.11239724|0.079861|0.2909371|0.11985779|0.10337022|0.42458269|0.14760591
Antigua y Barbuda|0.39316815|0.62024844|0.54540968|0.38487309|0.51781571|0.49267834|0.4418425|0.68484676|0.40329236|0.68670189|0.74679434|0.60444736|0.47486305|0.48413986|0.35435909|0.72294164|0.51128978|0.43383849|0.6457752|0.53355229|0.40770125|0.40545365|0.46757615|0.40770125|0.30715042|0.662763|0.60053116|0.30890107|0.51915026|0.62554109|0.44270799|0.62980098|0.3284592|0.63092852|0.27161431|0.53656|0.27931935|0.2899822|0.60691345|0.30798697|0.35193372|0.40770125|0.44344503
Arabia Saudita|0.8223443|0.71095514|0.96151972|0.53929663|0.81998003|0.84251082|0.77850997|0.9599157|0.53852218|0.87708294|0.56115139|0.86344522|0.89475882|0.78596747|0.74862081|0.81787556|0.92859483|0.74985218|0.76071483|0.86594307|0.80655968|0.83800268|0.66657412|0.80655968|0.84022635|0.80377191|0.89586228|0.76422387|0.89386857|0.98451889|0.73958325|0.84190321|0.85742533|0.83724153|0.9217875|0.95500231|0.83128577|0.63511634|0.27143842|0.68840092|0.78199583|0.80655968|0.9548763
Argelia|0.50020576|0.18807063|0.2974191|0.26867852|0.35572881|0.30430949|0.4085103|0.1414994|0.58644211|0.53710562|0.13837031|0.36209655|0.41530454|0.54373449|0.36795151|0.20568606|0.28527704|0.27713585|0.0571374|0.26137784|0.31176156|0.41327739|0.42891869|0.31176156|0.40464026|0.36058939|0.35178512|0.35782948|0.41635263|0.68199414|0.3139686|0.36480385|0.48004562|0.3549414|0.65120852|0.26294938|0.60415614|0.57049918|0.14954463|0.47979406|0.36651379|0.31176156|0.28590953
Argentina|0.29498315|0.30400246|0.25559598|0.79658425|0.49448824|0.41902485|0.70604575|0.23061255|0.18649103|0.7008754|0.20408468|0.23747192|0.61054748|0.57671958|0.55391651|0.49199194|0.52411699|0.38915718|0.22740477|0.52249461|0.60556102|0.64046824|0.53895092|0.60556102|0.6396085|0.39967939|0.27231777|0.61282527|0.41287935|0.20553043|0.48918962|0.52398157|0.65727013|0.38581491|0.40900928|0.45431882|0.65853065|0.69615275|0.46418259|0.74207914|0.48976311|0.60556102|0.42336234
Armenia|0.53285378|0.40761536|0.51019812|0.47606406|0.60000789|0.59925997|0.48819071|0.659495|0.62280917|0.60638249|0.4877134|0.50874746|0.72417784|0.66918445|0.55779934|0.34642911|0.66326237|0.53948808|0.52590394|0.54011059|0.53960586|0.610636|0.61890244|0.53960586|0.51231527|0.65592933|0.55406237|0.5285629|0.52282184|0.62111688|0.51105583|0.57294071|0.53920925|0.56195521|0.51426268|0.44297785|0.53986716|0.47607177|0.62062949|0.45838678|0.55698514|0.53960586|0.5256561
Aruba|0.35840732|0.62979436|0.6466344|0.28875244|0.65726638|0.55156666|0.33860111|0.68091446|0.47063348|0.65592134|0.70006508|0.84463322|0.47846341|0.47923875|0.53254932|0.56212837|0.53163356|0.57800531|0.71814233|0.58724236|0.33816385|0.48199749|0.52500868|0.33816385|0.35665312|0.56298697|0.66435647|0.36144292|0.64404184|0.69138861|0.61817384|0.56525707|0.26620311|0.63828409|0.33901757|0.57239455|0.37295735|0.30443877|0.71668923|0.38153452|0.46564955|0.33816385|0.37161669
Australia|0.65375376|0.81657016|0.94697517|0.95027155|0.87421387|0.94458878|0.89272583|0.48280871|0.61333036|0.54847485|0.77996504|0.49482894|0.84682018|0.91406471|0.86087787|0.88795483|0.94133961|0.90553403|0.72846419|0.88966584|0.89701915|0.94401407|0.82823473|0.89701915|0.91625267|0.82214135|0.69746149|0.8818835|0.91298652|0.72213328|0.91527367|0.91365004|0.89428854|0.86029357|0.60121739|0.56298119|0.70821816|0.79248118|0.81936991|0.71235037|0.89811409|0.89701915|0.99725878
Austria|0.8530637|0.82233179|0.89061701|0.75256634|0.926956|0.9089911|0.85954797|0.95009267|0.84868526|0.96849823|0.80800569|0.81593049|0.80580497|0.79378879|0.9654206|0.90975821|0.88738412|0.83947849|0.79186195|0.93588114|0.90005732|0.85147655|0.88792288|0.90005732|0.82965183|0.94848591|0.91880834|0.85774291|0.84903061|0.80878747|0.86257952|0.90827799|0.88862669|0.90334129|0.89765692|0.81868494|0.86524004|0.87808573|0.848508|0.90656614|0.92409676|0.90005732|0.79215646
Azerbaiyán|0.59352899|0.44596428|0.60280305|0.50437325|0.6382246|0.61664534|0.54859763|0.60790259|0.73335922|0.58635426|0.42359644|0.54292679|0.65198052|0.4763242|0.52902186|0.37358776|0.6783551|0.42102891|0.593889|0.5303722|0.38056213|0.5042733|0.60908967|0.38056213|0.57315528|0.64622617|0.47384471|0.52469873|0.53473467|0.67495048|0.45694295|0.6364581|0.57716221|0.62068391|0.61902213|0.59361529|0.47167659|0.48080295|0.36729854|0.47487926|0.50424069|0.38056213|0.60841334
Bahamas|0.40970761|0.55544406|0.59096587|0.33471581|0.57843423|0.56509686|0.36735344|0.74993587|0.48215464|0.6791721|0.73262084|0.7361213|0.43081641|0.50096345|0.50890344|0.57001078|0.54521036|0.57484412|0.7349|0.48167869|0.5335238|0.39765751|0.57421219|0.5335238|0.4173016|0.6942746|0.63597143|0.40017107|0.69581586|0.61421824|0.5246377|0.70041174|0.35537821|0.6511538|0.34840155|0.7137087|0.35906002|0.42503291|0.69265777|0.43982261|0.43031883|0.5335238|0.49216288
Bahréin|0.75116271|0.67227113|0.79935879|0.38150051|0.79259837|0.73674548|0.72017443|0.93450278|0.9006741|0.90571266|0.76334065|0.86764276|0.8324039|0.72617602|0.68401963|0.82381725|0.88008606|0.72856259|0.82473218|0.82709146|0.80945134|0.68218982|0.79741061|0.80945134|0.68850404|0.83917594|0.90287203|0.68293667|0.81714654|0.97947431|0.68599355|0.77786744|0.68993592|0.74288321|0.77801269|0.90922952|0.68112171|0.682863|0.58785617|0.84603226|0.68160546|0.80945134|0.7836144
Bangladesh|0.67116469|0.26421684|0.44647735|0.62822104|0.21511015|0.40871119|0.40455529|0.35935321|0.66996324|0.23175347|0.21711609|0.36562496|0.38682646|0.3495321|0.34032816|0.27496788|0.44143581|0.44076335|0.21536526|0.32239652|0.49528551|0.4459261|0.24227761|0.49528551|0.44966093|0.33507103|0.5793643|0.45800757|0.44567013|0.58809412|0.33672833|0.39388436|0.53549016|0.2511681|0.67516536|0.39617917|0.57152534|0.61059499|0.16995588|0.58792984|0.62349415|0.49528551|0.29998139
Barbados|0.35509655|0.5699572|0.51437318|0.31151083|0.44299105|0.49667266|0.34180027|0.43835676|0.55219507|0.56470096|0.58822095|0.59401476|0.46746418|0.45240939|0.33204275|0.58748555|0.46213979|0.32743454|0.54042208|0.47867012|0.20893781|0.3587338|0.59326124|0.20893781|0.33266035|0.39034981|0.56291229|0.37047428|0.32052541|0.56458741|0.43619597|0.50678355|0.2909582|0.50227594|0.43502718|0.62468231|0.43326879|0.30975625|0.58469522|0.34380123|0.27536708|0.20893781|0.28057072
Belice|0.52508998|0.18021737|0.63158756|0.59128714|0.3591333|0.541224|0.4476001|0.22140694|0.17089438|0.12407915|0.50193751|0.19694686|0.35987556|0.42937472|0.65211189|0.61210507|0.53801787|0.59350419|0.58730304|0.6306721|0.36582404|0.35005751|0.642901|0.36582404|0.34423858|0.34899884|0.28090549|0.33539975|0.42054787|0.55450475|0.47151673|0.46980262|0.40024209|0.48654675|0.33291465|0.22959068|0.39285266|0.2870509|0.20084918|0.35228845|0.48516327|0.36582404|0.33580452
Benín|0.41578615|0.51311368|0.32899362|0.54735756|0.33450472|0.27824211|0.24339633|0.63560951|0.44217288|0.37160105|0.35231295|0.19289315|0.25740016|0.29289895|0.29855907|0.4668228|0.2798616|0.30601209|0.38393965|0.36961034|0.56773353|0.27714705|0.44834694|0.56773353|0.42334595|0.28516006|0.24196334|0.28216696|0.25154454|0.3265239|0.25944516|0.43609357|0.32444412|0.25937307|0.57614768|0.43079704|0.30198658|0.24874675|0.28742266|0.25387862|0.31232461|0.56773353|0.33126402
